PUMA,percentage,County
100,9.90,Aroostook & Washington Counties
200,9.74,"Oxford, Somerset, Franklin & Piscataquis Counties"
300,9.58,Penobscot
400,9.52,Kennebec
500,9.48,"Hancock, Knox, Waldo & Lincoln Counties"
600,9.66,Androscoggin
700,9.20,Sagadahoc & Cumberland (North) Counties--Bath City & Brunswick
800,9.54,South Maine--York (West) & Cumberland (West) 
900,9.28,Cumberland (Outside Portland) & York (East) Counties
1000,9.19,"Cumberland County (Southeast)--Portland, South Portland & Westbrook Cities "
