GEOID,affected_population,total_population,percentage,County
9001,19684.37653,157961,12.46154211,"Fairfield County, CT"
9003,19692.13791,158944,12.38935594,"Hartford County, CT"
9005,4265.827414,40910,10.4273464,"Litchfield County, CT"
9007,3916.263107,35121,11.15077335,"Middlesex County, CT"
9009,18785.48103,155504,12.08038445,"New Haven County, CT"
9011,5638.039008,51381,10.97300365,"New London County, CT"
9013,2669.139505,25401,10.50800954,"Tolland County, CT"
9015,2167.016073,20774,10.43138574,"Windham County, CT"
23001,2062.408839,19975,10.32495038,"Androscoggin County, ME"
23003,1809.589175,16937,10.68423673,"Aroostook County, ME"
23005,6003.216763,58292,10.29852598,"Cumberland County, ME"
23007,669.9953849,6975,9.6056686,"Franklin County, ME"
23009,1417.410283,14501,9.774569222,"Hancock County, ME"
23011,2591.086993,25621,10.11313763,"Kennebec County, ME"
23013,1086.782149,10791,10.07119034,"Knox County, ME"
23015,1023.428016,10196,10.03754429,"Lincoln County, ME"
23017,1318.607534,13375,9.85874792,"Oxford County, ME"
23019,3003.575519,29606,10.14515814,"Penobscot County, ME"
23021,447.1091463,4626,9.665135025,"Piscataquis County, ME"
23023,874.000718,8564,10.20551983,"Sagadahoc County, ME"
23025,1077.754752,11293,9.543564614,"Somerset County, ME"
23027,868.4885172,9561,9.083657747,"Waldo County, ME"
23029,769.8966779,8058,9.554438792,"Washington County, ME"
23031,4590.579053,45405,10.11029414,"York County, ME"
25001,7223.598933,68379,10.56406051,"Barnstable County, MA"
25003,3355.995002,30743,10.91628989,"Berkshire County, MA"
25005,11067.10599,100125,11.05328938,"Bristol County, MA"
25007,443.6365674,4512,9.832370732,"Dukes County, MA"
25009,15926.45103,142375,11.18626938,"Essex County, MA"
25011,1600.925358,16792,9.533857538,"Franklin County, MA"
25013,9766.121106,82861,11.78614922,"Hampden County, MA"
25015,3063.495175,30075,10.18618512,"Hampshire County, MA"
25017,28875.03261,257247,11.22463337,"Middlesex County, MA"
25019,187.5101799,1801,10.41144808,"Nantucket County, MA"
25021,14387.94221,124312,11.57405738,"Norfolk County, MA"
25023,10836.76935,100676,10.76400467,"Plymouth County, MA"
25025,13714.21113,101227,13.54797745,"Suffolk County, MA"
25027,14751.04964,137277,10.74546329,"Worcester County, MA"
33001,1408.651182,14465,9.738342084,"Belknap County, NH"
33003,1386.427875,14571,9.514980952,"Carroll County, NH"
33005,1613.093268,16326,9.880517383,"Cheshire County, NH"
33007,803.0713666,7826,10.26158148,"Coos County, NH"
33009,2044.702736,19996,10.22555879,"Grafton County, NH"
33011,7281.377629,69907,10.41580618,"Hillsborough County, NH"
33013,2994.393381,29474,10.15944012,"Merrimack County, NH"
33015,5859.549705,59581,9.834594426,"Rockingham County, NH"
33017,2125.826844,21070,10.08935379,"Strafford County, NH"
33019,991.3849063,9913,10.00085651,"Sullivan County, NH"
44001,1148.839875,10026,11.45860637,"Bristol County, RI"
44003,3529.911945,32853,10.74456502,"Kent County, RI"
44005,2144.260272,19370,11.07000657,"Newport County, RI"
44007,12300.42648,102173,12.03882286,"Providence County, RI"
44009,2894.909961,28055,10.31869528,"Washington County, RI"
50001,772.7065249,8016,9.639552456,"Addison County, VT"
50003,900.0821675,8437,10.6682727,"Bennington County, VT"
50005,631.4768673,6655,9.488758336,"Caledonia County, VT"
50007,2785.010245,26445,10.5313301,"Chittenden County, VT"
50009,168.9028257,1701,9.929619381,"Essex County, VT"
50011,815.876429,8501,9.597417115,"Franklin County, VT"
50013,131.7563805,1594,8.265770423,"Grand Isle County, VT"
50015,455.4031149,4639,9.816838001,"Lamoille County, VT"
50017,612.6083756,6545,9.359944623,"Orange County, VT"
50019,632.7483576,6351,9.962972093,"Orleans County, VT"
50021,1320.382225,13626,9.690167507,"Rutland County, VT"
50023,1219.209557,12167,10.02062593,"Washington County, VT"
50025,993.0410127,10327,9.615967974,"Windham County, VT"
50027,1353.86258,13590,9.962197057,"Windsor County, VT"
