PUMA,percentage,County
100,9.903127287,Aroostook & Washington Counties
200,9.736874365,"Oxford, Somerset, Franklin & Piscataquis Counties"
300,9.581226346,Penobscot
400,9.518876036,Kennebec
500,9.475182916,"Hancock, Knox, Waldo & Lincoln Counties"
600,9.659542754,Androscoggin
700,9.198752581,Sagadahoc & Cumberland (North) Counties--Bath City & Brunswick
800,9.540052854,South Maine--York (West) & Cumberland (West) 
900,9.283515701,Cumberland (Outside Portland) & York (East) Counties
1000,9.186986904,"Cumberland County (Southeast)--Portland, South Portland & Westbrook Cities "
