tracta,percentage,Total_Affected_Population
100,7.4,36.95827448
200,9.0,103.8669953
300,9.1,121.2556769
400,7.4,27.08055902
500,7.8,63.67147348
600,6.3,43.56262195
700,8.2,61.79563482
900,11.9,145.8658785
1000,6.2,8.526189013
1100,11.4,55.17745246
1200,5.1,7.083496952
1300,5.8,27.12616227
1500,7.2,26.60395356
1700,6.4,37.74316112
1800,9.3,92.95327579
1900,7.6,61.6745786
2000,8.3,118.6004237
2001,10.5,69.45574199
2002,6.0,19.94390048
2101,7.5,82.160542
2102,9.2,90.88233047
2200,13.6,185.9703159
2300,9.9,49.18260851
2400,5.8,28.91573416
2501,8.6,92.92131457
2503,7.0,45.75829971
2504,10.1,108.165045
2600,7.8,63.40849349
2700,9.0,64.91525149
2800,9.3,43.95237284
2901,10.4,105.9046288
2902,9.4,55.64407177
3000,8.0,71.05049825
3001,8.7,84.5936634
3002,10.3,17.55718489
3100,9.5,57.25712696
3200,7.8,73.35957814
3300,7.5,40.55065261
3400,6.6,61.72149956
3500,8.9,101.4264437
3701,5.9,61.72717504
3702,8.0,101.2073439
4001,7.4,29.18671578
4002,9.5,135.9503502
4100,7.9,83.12765646
4200,9.4,61.02375055
4201,6.3,35.54974925
4202,7.7,78.82840318
4300,11.2,110.4210575
4401,8.0,57.3277403
4402,7.4,53.20396002
4501,8.7,67.49044808
4502,6.3,86.81544465
4600,7.2,43.84988917
4701,5.9,26.78963792
4702,7.3,76.45351852
4802,6.8,48.24251883
4803,8.0,67.7532718
4804,7.2,60.99499299
4805,9.9,53.90930839
5000,8.3,31.10175667
5100,7.9,63.54263033
5200,8.1,70.31194443
5301,8.2,34.18448534
5302,7.9,47.14241409
5400,9.0,75.44660663
6100,8.2,39.68231474
6103,7.8,72.1105589
6104,7.1,57.80014607
6105,7.7,42.97197832
6106,7.5,30.49697552
6200,11.1,89.32550468
6300,7.0,7.105257289
7100,9.5,66.3952017
7200,8.2,45.36073062
8001,8.6,65.5057171
9000,7.3,86.48353148
10000,7.6,89.28464809
10100,8.8,114.8153135
10200,11.0,205.1488734
10300,10.8,103.8188552
10400,12.7,161.7922206
10500,11.0,163.9662529
10600,8.3,39.41698981
10601,8.1,72.90202575
10602,9.2,61.22982767
10700,10.6,131.8054261
10800,9.1,79.60987959
10801,8.7,39.58705207
10803,10.2,61.12016826
10804,8.7,60.60055352
10900,11.2,35.67518258
11000,8.3,128.3210327
11100,11.4,99.50259322
11203,7.4,80.59812901
11204,12.4,130.2321475
11205,8.9,64.90426327
11206,8.6,56.54422078
11300,6.7,28.01180999
11500,6.9,79.54459555
12000,8.1,84.55482508
12001,7.2,45.12408992
12002,6.2,25.88028647
12500,7.4,33.80750543
13000,8.0,117.5073869
13001,7.7,35.57849884
13002,8.7,40.25254752
13500,8.0,32.6794335
14000,8.4,31.05134343
14001,7.0,85.82091232
14002,7.4,68.37457341
14500,6.2,52.2217222
15000,8.4,166.7455173
15500,7.3,97.00348721
16000,6.7,58.48990616
16001,7.9,76.97122087
16002,7.8,34.66513647
16500,8.0,50.3850961
17000,7.2,59.43262413
17002,6.7,43.56591195
17003,7.4,44.01786688
17004,7.1,35.80917087
17101,7.1,69.62273017
17102,6.4,59.50826687
17303,8.3,107.3305046
17305,7.4,71.84093533
17306,7.0,42.18951129
17307,8.3,47.72476543
17308,11.8,207.8455556
18000,7.6,123.8471843
19000,7.9,28.79291867
20000,7.0,40.42884238
20001,6.5,43.68958882
20002,7.7,66.70024016
20100,12.7,38.45252943
20200,8.3,13.25626007
20301,17.8,83.81197216
20302,8.5,50.08113607
20303,9.6,17.25809147
20401,10.5,8.826903615
20402,9.6,43.76039825
20500,8.8,128.39141
20600,9.5,61.98404385
20700,10.7,121.5467352
20801,9.6,62.37378905
20802,8.8,77.11568829
20900,12.6,104.9606963
21000,7.9,115.5507884
21500,7.9,31.43522182
22000,8.0,110.9410506
22500,7.5,65.33919109
23000,7.3,42.08915086
23001,10.6,82.21632883
23002,8.9,72.97017209
23501,7.1,60.18077198
23502,6.7,47.92095908
24001,6.9,23.91755904
24002,6.8,46.83165497
24101,9.6,69.4747762
24102,8.2,61.62609596
24201,11.5,73.219114
24202,13.5,94.85769503
24500,9.3,54.85487539
24501,7.6,84.07755049
24502,8.2,29.49417121
25001,7.8,73.2522318
25002,9.4,27.52906833
25100,8.4,54.05045929
25203,11.3,54.01035991
25204,14.3,42.47681581
25205,9.6,61.38467231
25206,8.2,38.31679825
25300,9.8,62.68052047
25400,7.2,48.2123103
25500,9.3,34.99146562
26000,7.1,49.64839278
26500,8.4,33.54126274
27000,8.2,235.1263044
28000,8.4,33.74772823
28001,7.6,44.66086506
28003,10.0,169.796168
28004,9.0,127.8366429
28500,11.6,32.27820542
29000,8.8,107.300442
30000,10.0,155.9121988
30100,12.7,90.11078194
30101,7.5,42.6577911
30102,10.0,39.15064566
30200,8.6,62.63829629
30201,9.6,63.56396845
30203,7.9,51.9254803
30204,12.1,43.17639283
30205,10.9,58.65504971
30300,8.8,69.2818687
31000,8.9,95.21992769
31100,10.0,124.9480742
31200,8.4,44.7230431
31300,6.8,51.29178703
32001,8.2,65.22447774
32002,8.5,56.00442711
33000,8.9,101.6408184
34002,6.8,76.95962139
34003,7.4,76.4879636
34004,8.8,50.61523587
34005,8.2,48.34287855
34006,8.2,51.00695616
35001,6.8,25.81349794
35002,8.4,59.96275587
36002,6.9,90.88548328
36003,9.5,97.65163988
36004,8.0,106.43469
37000,8.3,143.4598542
38001,8.5,173.2042746
38002,9.5,64.77585613
40000,6.1,33.98714435
41000,7.4,134.2306945
41500,8.5,84.50383141
42000,8.0,241.1630664
43000,8.4,247.3769485
44000,7.0,133.8609386
45000,7.4,116.0519171
46000,8.5,69.12009126
46001,7.5,30.10255335
46002,8.0,68.76412337
46500,9.0,104.9463937
47000,7.0,57.31502352
940000,7.5,10.56882147
950100,8.4,51.71448107
950200,12.1,98.42204928
950300,11.9,136.6158728
950400,9.8,49.18550397
950600,11.4,94.91439691
950700,9.0,83.34454511
950900,8.6,51.15001874
951000,9.4,69.15180408
951100,8.1,41.63950767
951200,9.5,49.78459166
951300,10.4,92.45746722
951400,10.0,57.10083461
951600,10.8,31.50349507
951700,8.6,113.755679
951800,8.4,44.87656423
951900,13.8,101.7232874
952000,8.8,58.04119903
952100,11.3,74.67824005
952300,8.4,45.9393035
952400,11.9,108.2343306
952500,10.6,54.5831528
952600,8.4,55.25363945
952700,8.5,52.1075274
952900,8.4,60.48078076
955100,8.3,68.41437289
955300,9.0,27.51010332
955400,8.2,20.46318601
955500,9.6,84.37555966
955600,6.5,26.75229648
955700,8.8,47.56682803
955800,7.4,55.36606971
955900,8.3,58.49916603
956100,8.7,36.76807501
956200,10.9,59.59770637
956300,8.5,56.39466187
956400,8.7,70.45776906
956500,8.4,64.06956587
960301,7.3,31.74426156
960302,7.0,34.86329404
960400,7.5,26.48083417
960500,7.8,27.65772158
960600,8.9,55.35483302
960700,11.1,130.2484156
960800,8.6,60.7639142
960900,7.6,29.67615351
965100,8.1,79.65523742
965200,7.5,35.22508805
965300,8.1,97.16274487
965301,9.0,20.66164293
965302,8.9,65.53880565
965400,8.4,122.1302067
965500,8.4,34.53245528
965503,9.5,97.32654921
965504,8.0,63.91610291
965600,10.5,147.05629
965700,8.2,172.6471798
965800,8.4,170.5658765
965900,7.9,184.2465865
966000,9.0,100.1481435
966001,7.6,36.66913962
966002,6.0,22.12224453
966100,8.4,140.6111223
966200,9.2,223.7896396
966300,7.9,187.2314045
966400,7.9,78.76016308
966401,7.2,52.92876002
966402,8.0,39.8150134
966500,8.7,300.6403679
966600,8.3,146.8092016
966601,11.7,64.94738692
966602,13.0,102.0098709
966700,7.9,181.8563347
966701,8.0,28.93473862
966702,9.1,58.33242595
966800,7.7,45.01516318
966801,9.8,29.99800201
966802,7.1,45.83929301
966900,8.1,91.04122708
967000,7.2,40.41381195
970100,8.2,45.83384222
970101,6.7,43.52035258
970102,8.8,11.89116847
970200,8.0,229.1844511
970301,10.3,222.1852665
970302,8.5,151.5179821
970400,6.3,98.28348082
970401,7.8,38.50402966
970402,8.2,66.78518397
970500,8.4,192.6547002
970600,7.6,82.51324423
970601,7.0,32.05203356
970602,7.2,41.23251057
970700,7.9,172.0589999
970800,8.3,74.27514003
970900,7.2,86.12692573
971000,8.1,134.4991996
971100,6.8,83.24124977
971201,11.2,140.5377391
971202,8.9,83.35547487
971300,8.8,62.65119232
971400,9.4,71.84685561
975100,8.2,97.64435766
975200,8.2,113.6586381
975300,8.8,99.01481521
975400,7.2,59.26386333
975500,7.1,98.31158514
975600,7.2,105.3674666
975700,7.4,21.72587093
975800,6.6,82.55632416
976200,9.3,102.7061227
