ST,PUMA,GEOID,SEX,RACE,EDUCATION,AGEG,alzheimer_prob,PWGTP
23,500,2300500,Male,Other,0,65-69,11.3415911,5
23,500,2300500,Female,Other,12,85+,35.32267164,23
23,400,2300400,Male,Other,12,75-79,9.154741059,7
23,300,2300300,Male,Other,2,85+,60.09097423,5
23,800,2300800,Male,Other,11,80-84,18.13583657,3
23,500,2300500,Female,Other,14,85+,30.31559491,2
23,300,2300300,Male,Other,16,85+,23.45593817,26
23,600,2300600,Female,Other,8,75-79,15.22542985,14
23,400,2300400,Male,Other,14,85+,27.78173331,3
23,400,2300400,Male,Other,0,70-74,18.55310147,10
23,1000,2301000,Male,Other,14,75-79,7.430859588,8
23,100,2300100,Male,Other,12,75-79,9.154741059,7
23,600,2300600,Female,Other,9,85+,43.44438546,12
23,400,2300400,Male,Other,12,75-79,9.154741059,9
23,900,2300900,Male,Other,18,65-69,1.625171798,19
23,600,2300600,Female,Other,12,70-74,6.175212911,12
23,600,2300600,Male,Other,12,65-69,3.164907227,14
23,300,2300300,Male,Other,12,75-79,9.154741059,15
23,500,2300500,Female,Other,12,85+,35.32267164,3
23,100,2300100,Female,Other,12,85+,35.32267164,24
23,800,2300800,Male,Other,11,80-84,18.13583657,5
23,600,2300600,Male,Other,7,85+,46.02554562,6
23,500,2300500,Female,Other,12,85+,35.32267164,15
23,300,2300300,Female,Other,14,70-74,4.981624362,4
23,300,2300300,Female,Other,12,85+,35.32267164,16
23,400,2300400,Male,Other,12,75-79,9.154741059,8
23,600,2300600,Female,Other,14,80-84,15.11879158,8
23,500,2300500,Male,Other,0,70-74,18.55310147,1
23,400,2300400,Female,Other,12,85+,35.32267164,2
23,900,2300900,Female,Other,12,85+,35.32267164,3
23,500,2300500,Female,Other,8,75-79,15.22542985,2
23,1000,2301000,Female,Other,12,85+,35.32267164,7
23,400,2300400,Male,Other,12,85+,32.56588642,22
23,100,2300100,Male,Other,12,85+,32.56588642,25
23,400,2300400,Male,Other,12,85+,32.56588642,5
23,1000,2301000,Male,Other,14,75-79,7.430859588,3
23,500,2300500,Female,Other,12,65-69,3.564379297,2
23,1000,2301000,Male,Other,12,85+,32.56588642,34
23,100,2300100,Male,Other,12,85+,32.56588642,25
23,100,2300100,Female,Other,14,85+,30.31559491,25
23,300,2300300,Female,Other,14,85+,30.31559491,17
23,300,2300300,Male,Other,12,80-84,16.50827556,5
23,400,2300400,Male,Other,0,70-74,18.55310147,3
23,1000,2301000,Male,Other,12,85+,32.56588642,3
23,1000,2301000,Female,Other,8,85+,46.25630518,8
23,1000,2301000,Female,Other,12,80-84,18.27410738,2
23,300,2300300,Male,Other,12,80-84,16.50827556,22
23,600,2300600,Male,Other,11,80-84,18.13583657,11
23,300,2300300,Female,Other,12,85+,35.32267164,3
23,400,2300400,Male,Other,12,75-79,9.154741059,3
23,700,2300700,Male,Other,18,85+,19.6207019,20
23,800,2300800,Female,Other,12,70-74,6.175212911,5
23,600,2300600,Female,Other,12,70-74,6.175212911,25
23,600,2300600,Female,Other,9,85+,43.44438546,36
23,300,2300300,Female,Other,12,85+,35.32267164,5
23,100,2300100,Male,Other,12,85+,32.56588642,12
23,400,2300400,Female,Other,9,85+,43.44438546,6
23,800,2300800,Male,Other,12,70-74,5.499823433,3
23,700,2300700,Male,Other,0,65-69,11.3415911,3
23,100,2300100,Female,Other,12,80-84,18.27410738,15
23,100,2300100,Female,Other,12,70-74,6.175212911,24
23,400,2300400,Male,Other,12,65-69,3.164907227,2
