PWGTP,EDUCATION,ST,percentage,GEOID,65-69,70-74,75-79,80-84,85+,Male,Female,Other,Hispanic,Black
5,0,23,11.3415911,2300500,1,0,0,0,0,1,0,1,0,0
23,12,23,35.32267164,2300500,0,0,0,0,1,0,1,1,0,0
7,12,23,9.154741059,2300400,0,0,1,0,0,1,0,1,0,0
5,2,23,60.09097423,2300300,0,0,0,0,1,1,0,1,0,0
3,11,23,18.13583657,2300800,0,0,0,1,0,1,0,1,0,0
2,14,23,30.31559491,2300500,0,0,0,0,1,0,1,1,0,0
26,16,23,23.45593817,2300300,0,0,0,0,1,1,0,1,0,0
14,8,23,15.22542985,2300600,0,0,1,0,0,0,1,1,0,0
3,14,23,27.78173331,2300400,0,0,0,0,1,1,0,1,0,0
10,0,23,18.55310147,2300400,0,1,0,0,0,1,0,1,0,0
8,14,23,7.430859588,2301000,0,0,1,0,0,1,0,1,0,0
7,12,23,9.154741059,2300100,0,0,1,0,0,1,0,1,0,0
12,9,23,43.44438546,2300600,0,0,0,0,1,0,1,1,0,0
9,12,23,9.154741059,2300400,0,0,1,0,0,1,0,1,0,0
19,18,23,1.625171798,2300900,1,0,0,0,0,1,0,1,0,0
12,12,23,6.175212911,2300600,0,1,0,0,0,0,1,1,0,0
14,12,23,3.164907227,2300600,1,0,0,0,0,1,0,1,0,0
15,12,23,9.154741059,2300300,0,0,1,0,0,1,0,1,0,0
3,12,23,35.32267164,2300500,0,0,0,0,1,0,1,1,0,0
24,12,23,35.32267164,2300100,0,0,0,0,1,0,1,1,0,0
5,11,23,18.13583657,2300800,0,0,0,1,0,1,0,1,0,0
6,7,23,46.02554562,2300600,0,0,0,0,1,1,0,1,0,0
15,12,23,35.32267164,2300500,0,0,0,0,1,0,1,1,0,0
4,14,23,4.981624362,2300300,0,1,0,0,0,0,1,1,0,0
16,12,23,35.32267164,2300300,0,0,0,0,1,0,1,1,0,0
8,12,23,9.154741059,2300400,0,0,1,0,0,1,0,1,0,0
8,14,23,15.11879158,2300600,0,0,0,1,0,0,1,1,0,0
1,0,23,18.55310147,2300500,0,1,0,0,0,1,0,1,0,0
2,12,23,35.32267164,2300400,0,0,0,0,1,0,1,1,0,0
3,12,23,35.32267164,2300900,0,0,0,0,1,0,1,1,0,0
2,8,23,15.22542985,2300500,0,0,1,0,0,0,1,1,0,0
7,12,23,35.32267164,2301000,0,0,0,0,1,0,1,1,0,0
22,12,23,32.56588642,2300400,0,0,0,0,1,1,0,1,0,0
25,12,23,32.56588642,2300100,0,0,0,0,1,1,0,1,0,0
5,12,23,32.56588642,2300400,0,0,0,0,1,1,0,1,0,0
3,14,23,7.430859588,2301000,0,0,1,0,0,1,0,1,0,0
2,12,23,3.564379297,2300500,1,0,0,0,0,0,1,1,0,0
