GEOID,65-69,70-74,75-79,80-84,85+,Male,Female,Other,Hispanic,Black,percentage,total_weight,,
2300100,0,0,0,0,1,0,1,0,1,0,42.9,12,5.152756684,0.10710218
2300100,0,0,0,0,1,0,1,1,0,0,34.2,2346,803.1683341,
2300100,0,0,0,0,1,1,0,0,1,0,50.6,20,10.12146071,
2300100,0,0,0,0,1,1,0,1,0,0,34.2,1218,416.6886758,
2300100,0,0,0,1,0,0,1,0,1,0,34.3,30,10.27662781,
2300100,0,0,0,1,0,0,1,1,0,0,18.3,2016,369.0300242,
2300100,0,0,0,1,0,1,0,1,0,0,16.1,1340,215.3758121,
2300100,0,0,1,0,0,0,1,0,0,1,6.8,5,0.338850886,
2300100,0,0,1,0,0,0,1,0,1,0,8.2,17,1.388370048,
2300100,0,0,1,0,0,0,1,1,0,0,9.5,1917,181.4299188,
2300100,0,0,1,0,0,1,0,1,0,0,8.6,2111,180.984541,
2300100,0,1,0,0,0,0,1,0,1,0,9.7,24,2.338707013,
2300100,0,1,0,0,0,0,1,1,0,0,5.6,3443,192.9759062,
2300100,0,1,0,0,0,1,0,0,1,0,7.4,15,1.113597575,
2300100,0,1,0,0,0,1,0,1,0,0,5.2,3289,171.9448062,
2300100,1,0,0,0,0,0,1,0,0,1,6.8,19,1.301073511,
2300100,1,0,0,0,0,0,1,0,1,0,5.3,12,0.636695361,
2300100,1,0,0,0,0,0,1,1,0,0,3.1,4247,130.2272963,
2300100,1,0,0,0,0,1,0,0,0,1,6.1,7,0.427251599,
2300100,1,0,0,0,0,1,0,0,1,0,4.8,39,1.888997782,
2300100,1,0,0,0,0,1,0,1,0,0,2.8,4174,118.1913364,
2300200,0,0,0,0,1,0,1,0,1,0,48.6,5,2.428912026,0.091379686
2300200,0,0,0,0,1,0,1,1,0,0,33.8,2094,707.7263105,
2300200,0,0,0,0,1,1,0,1,0,0,30.8,1454,448.363539,
2300200,0,0,0,1,0,0,1,1,0,0,16.9,2307,389.5315348,
2300200,0,0,0,1,0,1,0,0,0,1,35.6,88,31.3400369,
2300200,0,0,0,1,0,1,0,1,0,0,15.3,1896,290.4535958,
2300200,0,0,1,0,0,0,1,0,1,0,11.1,15,1.667702036,
2300200,0,0,1,0,0,0,1,1,0,0,9.3,3122,290.2932424,
2300200,0,0,1,0,0,1,0,0,1,0,12.2,6,0.731557467,
2300200,0,0,1,0,0,1,0,1,0,0,8.3,2787,229.9514844,
2300200,0,1,0,0,0,0,1,0,1,0,10.2,78,7.970258123,
2300200,0,1,0,0,0,0,1,1,0,0,5.4,4790,258.4990474,
2300200,0,1,0,0,0,1,0,0,0,1,11.8,23,2.71587618,
2300200,0,1,0,0,0,1,0,1,0,0,5.0,5337,267.3968844,
2300200,1,0,0,0,0,0,1,0,1,0,6.3,60,3.76199742,
2300200,1,0,0,0,0,0,1,1,0,0,3.0,6028,180.8762102,
2300200,1,0,0,0,0,1,0,0,1,0,4.3,16,0.689508685,
2300200,1,0,0,0,0,1,0,1,0,0,2.7,5658,153.7053868,
2300300,0,0,0,0,1,0,1,0,1,0,37.5,13,4.872205625,
2300300,0,0,0,0,1,0,1,1,0,0,33.4,2540,849.1987113,
2300300,0,0,0,0,1,1,0,1,0,0,28.8,1245,358.3246841,
2300300,0,0,0,1,0,0,1,0,1,0,49.0,26,12.73892082,
2300300,0,0,0,1,0,0,1,1,0,0,17.0,1421,241.1213839,
2300300,0,0,0,1,0,1,0,1,0,0,15.1,1212,183.0230175,
2300300,0,0,1,0,0,0,1,0,1,0,16.5,2,0.329339359,
2300300,0,0,1,0,0,0,1,1,0,0,9.0,2543,229.131295,
2300300,0,0,1,0,0,1,0,0,0,1,13.8,6,0.826045397,
2300300,0,0,1,0,0,1,0,0,1,0,7.8,14,1.085236166,
2300300,0,0,1,0,0,1,0,1,0,0,7.7,2273,174.5746314,
2300300,0,1,0,0,0,0,1,1,0,0,5.1,4095,210.6785947,
2300300,0,1,0,0,0,1,0,0,1,0,18.2,26,4.743506812,
2300300,0,1,0,0,0,1,0,1,0,0,5.0,3809,190.0719414,
2300300,1,0,0,0,0,0,1,0,0,1,7.3,40,2.939947482,
2300300,1,0,0,0,0,0,1,1,0,0,2.9,4462,131.4617153,
2300300,1,0,0,0,0,1,0,0,0,1,4.0,13,0.514972735,
2300300,1,0,0,0,0,1,0,0,1,0,4.3,39,1.68067742,
2300300,1,0,0,0,0,1,0,1,0,0,2.8,4381,120.7229418,
2300400,0,0,0,0,1,0,1,0,0,1,52.1,6,3.123957955,
2300400,0,0,0,0,1,0,1,0,1,0,48.6,18,8.744083294,
2300400,0,0,0,0,1,0,1,1,0,0,33.1,1610,532.5947619,
2300400,0,0,0,0,1,1,0,1,0,0,31.5,1045,329.4882059,
2300400,0,0,0,1,0,0,1,0,1,0,27.9,10,2.789078063,
2300400,0,0,0,1,0,0,1,1,0,0,16.8,1710,286.9962689,
2300400,0,0,0,1,0,1,0,0,1,0,17.8,17,3.031510938,
2300400,0,0,0,1,0,1,0,1,0,0,15.3,1359,207.3860565,
2300400,0,0,1,0,0,0,1,0,1,0,4.8,20,0.95900147,
2300400,0,0,1,0,0,0,1,1,0,0,8.9,2398,213.6312923,
2300400,0,0,1,0,0,1,0,0,1,0,4.3,19,0.810105378,
2300400,0,0,1,0,0,1,0,1,0,0,8.6,1886,161.3841619,
2300400,0,1,0,0,0,0,1,0,1,0,8.6,13,1.119728296,
2300400,0,1,0,0,0,0,1,1,0,0,5.3,3692,194.7814049,
2300400,0,1,0,0,0,1,0,1,0,0,4.8,3365,161.5978281,
