PWGTP,EDUCATION,ST,percentage,GEOID,65-69,70-74,75-79,80-84,85+,Male,Female,Other,Hispanic,Black
5,0,23,3.0620098,2300500,1,0,0,0,0,1,0,1,0,0
23,12,23,34.54726257,2300500,0,0,0,0,1,0,1,1,0,0
7,12,23,8.874950303,2300400,0,0,1,0,0,1,0,1,0,0
5,2,23,31.82122021,2300300,0,0,0,0,1,1,0,1,0,0
3,11,23,16.04343298,2300800,0,0,0,1,0,1,0,1,0,0
2,14,23,34.54726257,2300500,0,0,0,0,1,0,1,1,0,0
26,16,23,31.82122021,2300300,0,0,0,0,1,1,0,1,0,0
14,8,23,9.921297959,2300600,0,0,1,0,0,0,1,1,0,0
3,14,23,31.82122021,2300400,0,0,0,0,1,1,0,1,0,0
10,0,23,5.325187858,2300400,0,1,0,0,0,1,0,1,0,0
8,14,23,8.874950303,2301000,0,0,1,0,0,1,0,1,0,0
7,12,23,8.874950303,2300100,0,0,1,0,0,1,0,1,0,0
12,9,23,34.54726257,2300600,0,0,0,0,1,0,1,1,0,0
9,12,23,8.874950303,2300400,0,0,1,0,0,1,0,1,0,0
19,18,23,3.0620098,2300900,1,0,0,0,0,1,0,1,0,0
12,12,23,5.980488929,2300600,0,1,0,0,0,0,1,1,0,0
14,12,23,3.0620098,2300600,1,0,0,0,0,1,0,1,0,0
15,12,23,8.874950303,2300300,0,0,1,0,0,1,0,1,0,0
3,12,23,34.54726257,2300500,0,0,0,0,1,0,1,1,0,0
24,12,23,34.54726257,2300100,0,0,0,0,1,0,1,1,0,0
5,11,23,16.04343298,2300800,0,0,0,1,0,1,0,1,0,0
6,7,23,31.82122021,2300600,0,0,0,0,1,1,0,1,0,0
15,12,23,34.54726257,2300500,0,0,0,0,1,0,1,1,0,0
4,14,23,5.980488929,2300300,0,1,0,0,0,0,1,1,0,0
16,12,23,34.54726257,2300300,0,0,0,0,1,0,1,1,0,0
8,12,23,8.874950303,2300400,0,0,1,0,0,1,0,1,0,0
8,14,23,17.77012503,2300600,0,0,0,1,0,0,1,1,0,0
1,0,23,5.325187858,2300500,0,1,0,0,0,1,0,1,0,0
2,12,23,34.54726257,2300400,0,0,0,0,1,0,1,1,0,0
3,12,23,34.54726257,2300900,0,0,0,0,1,0,1,1,0,0
2,8,23,9.921297959,2300500,0,0,1,0,0,0,1,1,0,0
7,12,23,34.54726257,2301000,0,0,0,0,1,0,1,1,0,0
22,12,23,31.82122021,2300400,0,0,0,0,1,1,0,1,0,0
25,12,23,31.82122021,2300100,0,0,0,0,1,1,0,1,0,0
5,12,23,31.82122021,2300400,0,0,0,0,1,1,0,1,0,0
3,14,23,8.874950303,2301000,0,0,1,0,0,1,0,1,0,0
2,12,23,3.448956817,2300500,1,0,0,0,0,0,1,1,0,0
34,12,23,31.82122021,2301000,0,0,0,0,1,1,0,1,0,0
25,12,23,31.82122021,2300100,0,0,0,0,1,1,0,1,0,0
25,14,23,34.54726257,2300100,0,0,0,0,1,0,1,1,0,0
17,14,23,34.54726257,2300300,0,0,0,0,1,0,1,1,0,0
5,12,23,16.04343298,2300300,0,0,0,1,0,1,0,1,0,0
3,0,23,5.325187858,2300400,0,1,0,0,0,1,0,1,0,0
3,12,23,31.82122021,2301000,0,0,0,0,1,1,0,1,0,0
8,8,23,34.54726257,2301000,0,0,0,0,1,0,1,1,0,0
2,12,23,17.77012503,2301000,0,0,0,1,0,0,1,1,0,0
22,12,23,16.04343298,2300300,0,0,0,1,0,1,0,1,0,0
11,11,23,16.04343298,2300600,0,0,0,1,0,1,0,1,0,0
3,12,23,34.54726257,2300300,0,0,0,0,1,0,1,1,0,0
3,12,23,8.874950303,2300400,0,0,1,0,0,1,0,1,0,0
20,18,23,31.82122021,2300700,0,0,0,0,1,1,0,1,0,0
5,12,23,5.980488929,2300800,0,1,0,0,0,0,1,1,0,0
25,12,23,5.980488929,2300600,0,1,0,0,0,0,1,1,0,0
36,9,23,34.54726257,2300600,0,0,0,0,1,0,1,1,0,0
5,12,23,34.54726257,2300300,0,0,0,0,1,0,1,1,0,0
12,12,23,31.82122021,2300100,0,0,0,0,1,1,0,1,0,0
6,9,23,34.54726257,2300400,0,0,0,0,1,0,1,1,0,0
3,12,23,5.325187858,2300800,0,1,0,0,0,1,0,1,0,0
3,0,23,3.0620098,2300700,1,0,0,0,0,1,0,1,0,0
15,12,23,17.77012503,2300100,0,0,0,1,0,0,1,1,0,0
24,12,23,5.980488929,2300100,0,1,0,0,0,0,1,1,0,0
2,12,23,3.0620098,2300400,1,0,0,0,0,1,0,1,0,0
6,0,23,9.921297959,2300300,0,0,1,0,0,0,1,1,0,0
3,14,23,34.54726257,2300400,0,0,0,0,1,0,1,1,0,0
22,12,23,31.82122021,2300500,0,0,0,0,1,1,0,1,0,0
20,12,23,31.82122021,2300400,0,0,0,0,1,1,0,1,0,0
3,0,23,5.325187858,2300400,0,1,0,0,0,1,0,1,0,0
35,12,23,34.54726257,2300300,0,0,0,0,1,0,1,1,0,0
3,14,23,31.82122021,2300300,0,0,0,0,1,1,0,1,0,0
7,0,23,5.325187858,2300200,0,1,0,0,0,1,0,1,0,0
3,12,23,8.874950303,2301000,0,0,1,0,0,1,0,1,0,0
5,12,23,34.54726257,2300800,0,0,0,0,1,0,1,1,0,0
2,24,23,5.325187858,2300500,0,1,0,0,0,1,0,1,0,0
3,11,23,16.04343298,2300200,0,0,0,1,0,1,0,1,0,0
10,14,23,8.874950303,2300900,0,0,1,0,0,1,0,1,0,0
2,12,23,17.77012503,2301000,0,0,0,1,0,0,1,1,0,0
27,12,23,34.54726257,2300100,0,0,0,0,1,0,1,1,0,0
12,12,23,34.54726257,2300500,0,0,0,0,1,0,1,1,0,0
3,5,23,5.325187858,2301000,0,1,0,0,0,1,0,1,0,0
16,12,23,5.980488929,2300100,0,1,0,0,0,0,1,1,0,0
6,14,23,34.54726257,2300400,0,0,0,0,1,0,1,1,0,0
6,14,23,34.54726257,2300800,0,0,0,0,1,0,1,1,0,0
28,14,23,34.54726257,2300500,0,0,0,0,1,0,1,1,0,0
3,12,23,16.04343298,2300300,0,0,0,1,0,1,0,1,0,0
36,12,23,31.82122021,2300200,0,0,0,0,1,1,0,1,0,0
38,8,23,34.54726257,2300900,0,0,0,0,1,0,1,1,0,0
30,12,23,17.77012503,2300700,0,0,0,1,0,0,1,1,0,0
3,12,23,34.54726257,2301000,0,0,0,0,1,0,1,1,0,0
11,12,23,3.0620098,2300300,1,0,0,0,0,1,0,1,0,0
2,8,23,9.921297959,2300500,0,0,1,0,0,0,1,1,0,0
6,12,23,34.54726257,2300400,0,0,0,0,1,0,1,1,0,0
25,12,23,34.54726257,2300900,0,0,0,0,1,0,1,1,0,0
31,12,23,17.77012503,2301000,0,0,0,1,0,0,1,1,0,0
11,14,23,34.54726257,2300400,0,0,0,0,1,0,1,1,0,0
6,12,23,34.54726257,2300400,0,0,0,0,1,0,1,1,0,0
4,12,23,34.54726257,2300300,0,0,0,0,1,0,1,1,0,0
23,5,23,5.325187858,2301000,0,1,0,0,0,1,0,1,0,0
20,12,23,31.82122021,2300400,0,0,0,0,1,1,0,1,0,0
2,12,23,31.82122021,2300500,0,0,0,0,1,1,0,1,0,0
44,0,23,17.77012503,2300100,0,0,0,1,0,0,1,1,0,0
14,12,23,31.82122021,2300600,0,0,0,0,1,1,0,1,0,0
3,12,23,34.54726257,2300200,0,0,0,0,1,0,1,1,0,0
7,12,23,31.82122021,2300400,0,0,0,0,1,1,0,1,0,0
33,8,23,34.54726257,2300100,0,0,0,0,1,0,1,1,0,0
1,8,23,34.54726257,2300500,0,0,0,0,1,0,1,1,0,0
30,16,23,31.82122021,2300300,0,0,0,0,1,1,0,1,0,0
25,14,23,34.54726257,2300200,0,0,0,0,1,0,1,1,0,0
3,12,23,34.54726257,2300900,0,0,0,0,1,0,1,1,0,0
4,12,23,34.54726257,2300800,0,0,0,0,1,0,1,1,0,0
8,12,23,34.54726257,2300600,0,0,0,0,1,0,1,1,0,0
5,12,23,34.54726257,2300800,0,0,0,0,1,0,1,1,0,0
43,14,23,34.54726257,2300900,0,0,0,0,1,0,1,1,0,0
4,12,23,3.0620098,2300400,1,0,0,0,0,1,0,1,0,0
2,0,23,17.77012503,2300500,0,0,0,1,0,0,1,1,0,0
4,12,23,16.04343298,2300300,0,0,0,1,0,1,0,1,0,0
13,12,23,31.82122021,2300200,0,0,0,0,1,1,0,1,0,0
31,12,23,34.54726257,2300300,0,0,0,0,1,0,1,1,0,0
21,8,23,17.77012503,2300900,0,0,0,1,0,0,1,1,0,0
4,12,23,8.874950303,2300200,0,0,1,0,0,1,0,1,0,0
2,14,23,34.54726257,2300400,0,0,0,0,1,0,1,1,0,0
23,12,23,34.54726257,2300100,0,0,0,0,1,0,1,1,0,0
1,12,23,3.0620098,2300200,1,0,0,0,0,1,0,1,0,0
14,11,23,16.04343298,2300700,0,0,0,1,0,1,0,1,0,0
3,12,23,17.77012503,2301000,0,0,0,1,0,0,1,1,0,0
19,2,23,31.82122021,2300300,0,0,0,0,1,1,0,1,0,0
6,8,23,17.77012503,2300800,0,0,0,1,0,0,1,1,0,0
25,12,23,5.980488929,2300200,0,1,0,0,0,0,1,1,0,0
25,8,23,9.921297959,2300600,0,0,1,0,0,0,1,1,0,0
5,9,23,5.325187858,2300800,0,1,0,0,0,1,0,1,0,0
2,18,23,17.77012503,2300500,0,0,0,1,0,0,1,1,0,0
32,14,23,17.77012503,2300600,0,0,0,1,0,0,1,1,0,0
22,5,23,5.325187858,2300700,0,1,0,0,0,1,0,1,0,0
5,16,23,31.82122021,2300300,0,0,0,0,1,1,0,1,0,0
3,12,23,34.54726257,2300500,0,0,0,0,1,0,1,1,0,0
14,12,23,34.54726257,2300600,0,0,0,0,1,0,1,1,0,0
27,8,23,9.921297959,2300600,0,0,1,0,0,0,1,1,0,0
12,12,23,31.82122021,2300200,0,0,0,0,1,1,0,1,0,0
19,11,23,16.04343298,2300500,0,0,0,1,0,1,0,1,0,0
8,14,23,5.325187858,2300400,0,1,0,0,0,1,0,1,0,0
35,12,23,31.82122021,2300400,0,0,0,0,1,1,0,1,0,0
19,12,23,34.54726257,2300500,0,0,0,0,1,0,1,1,0,0
2,14,23,34.54726257,2300400,0,0,0,0,1,0,1,1,0,0
10,12,23,16.04343298,2300300,0,0,0,1,0,1,0,1,0,0
9,18,23,31.82122021,2301000,0,0,0,0,1,1,0,1,0,0
23,12,23,34.54726257,2300300,0,0,0,0,1,0,1,1,0,0
14,12,23,31.82122021,2300600,0,0,0,0,1,1,0,1,0,0
1,12,23,34.54726257,2300500,0,0,0,0,1,0,1,1,0,0
17,14,23,34.54726257,2300300,0,0,0,0,1,0,1,1,0,0
28,14,23,34.54726257,2300100,0,0,0,0,1,0,1,1,0,0
4,14,23,34.54726257,2300300,0,0,0,0,1,0,1,1,0,0
11,0,23,3.0620098,2300200,1,0,0,0,0,1,0,1,0,0
25,14,23,8.874950303,2300100,0,0,1,0,0,1,0,1,0,0
27,12,23,34.54726257,2300800,0,0,0,0,1,0,1,1,0,0
8,12,23,31.82122021,2300400,0,0,0,0,1,1,0,1,0,0
15,8,23,17.77012503,2300100,0,0,0,1,0,0,1,1,0,0
6,14,23,34.54726257,2300600,0,0,0,0,1,0,1,1,0,0
25,12,23,31.82122021,2300900,0,0,0,0,1,1,0,1,0,0
34,14,23,34.54726257,2300200,0,0,0,0,1,0,1,1,0,0
7,9,23,16.04343298,2301000,0,0,0,1,0,1,0,1,0,0
34,12,23,34.54726257,2300900,0,0,0,0,1,0,1,1,0,0
7,18,23,3.0620098,2301000,1,0,0,0,0,1,0,1,0,0
21,18,23,3.0620098,2301000,1,0,0,0,0,1,0,1,0,0
20,12,23,5.325187858,2300900,0,1,0,0,0,1,0,1,0,0
4,12,23,3.0620098,2300400,1,0,0,0,0,1,0,1,0,0
4,12,23,9.921297959,2300500,0,0,1,0,0,0,1,1,0,0
7,18,23,5.325187858,2300500,0,1,0,0,0,1,0,1,0,0
6,18,23,5.980488929,2300500,0,1,0,0,0,0,1,1,0,0
5,12,23,3.0620098,2300100,1,0,0,0,0,1,0,1,0,0
5,14,23,3.448956817,2300100,1,0,0,0,0,0,1,1,0,0
4,12,23,31.82122021,2300300,0,0,0,0,1,1,0,1,0,0
11,14,23,17.77012503,2300100,0,0,0,1,0,0,1,1,0,0
5,12,23,8.874950303,2300300,0,0,1,0,0,1,0,1,0,0
7,12,23,5.980488929,2300300,0,1,0,0,0,0,1,1,0,0
6,12,23,3.0620098,2300200,1,0,0,0,0,1,0,1,0,0
6,12,23,3.448956817,2300200,1,0,0,0,0,0,1,1,0,0
3,16,23,5.325187858,2300300,0,1,0,0,0,1,0,1,0,0
3,16,23,5.980488929,2300300,0,1,0,0,0,0,1,1,0,0
34,18,23,3.0620098,2300700,1,0,0,0,0,1,0,1,0,0
40,16,23,17.77012503,2300700,0,0,0,1,0,0,1,1,0,0
15,12,23,3.0620098,2300100,1,0,0,0,0,1,0,1,0,0
16,12,23,3.448956817,2300100,1,0,0,0,0,0,1,1,0,0
4,14,23,5.325187858,2300100,0,1,0,0,0,1,0,1,0,0
4,12,23,3.448956817,2300100,1,0,0,0,0,0,1,1,0,0
10,14,23,9.921297959,2300400,0,0,1,0,0,0,1,1,0,0
27,12,23,34.54726257,2300300,0,0,0,0,1,0,1,1,0,0
4,12,23,5.325187858,2300100,0,1,0,0,0,1,0,1,0,0
3,0,23,31.82122021,2300100,0,0,0,0,1,1,0,1,0,0
2,12,23,34.54726257,2300100,0,0,0,0,1,0,1,1,0,0
26,9,23,27.20988176,2300100,0,0,0,1,0,0,1,0,1,0
16,18,23,3.448956817,2300800,1,0,0,0,0,0,1,1,0,0
9,12,23,3.448956817,2300500,1,0,0,0,0,0,1,1,0,0
3,12,23,3.0620098,2300100,1,0,0,0,0,1,0,1,0,0
11,12,23,3.448956817,2300500,1,0,0,0,0,0,1,1,0,0
5,12,23,3.0620098,2300200,1,0,0,0,0,1,0,1,0,0
6,6,23,16.04343298,2300100,0,0,0,1,0,1,0,1,0,0
19,12,23,3.448956817,2300800,1,0,0,0,0,0,1,1,0,0
22,14,23,8.874950303,2300800,0,0,1,0,0,1,0,1,0,0
6,12,23,5.980488929,2300200,0,1,0,0,0,0,1,1,0,0
6,14,23,3.0620098,2300500,1,0,0,0,0,1,0,1,0,0
29,12,23,16.04343298,2300900,0,0,0,1,0,1,0,1,0,0
38,12,23,9.921297959,2300900,0,0,1,0,0,0,1,1,0,0
5,12,23,31.82122021,2300200,0,0,0,0,1,1,0,1,0,0
5,12,23,8.874950303,2300300,0,0,1,0,0,1,0,1,0,0
5,14,23,9.921297959,2300300,0,0,1,0,0,0,1,1,0,0
5,12,23,5.325187858,2300700,0,1,0,0,0,1,0,1,0,0
5,14,23,3.448956817,2300700,1,0,0,0,0,0,1,1,0,0
26,16,23,5.325187858,2300900,0,1,0,0,0,1,0,1,0,0
17,18,23,9.921297959,2300500,0,0,1,0,0,0,1,1,0,0
29,12,23,5.980488929,2300900,0,1,0,0,0,0,1,1,0,0
6,11,23,3.0620098,2300100,1,0,0,0,0,1,0,1,0,0
33,14,23,5.325187858,2300800,0,1,0,0,0,1,0,1,0,0
32,14,23,3.448956817,2300800,1,0,0,0,0,0,1,1,0,0
37,14,23,34.54726257,2300800,0,0,0,0,1,0,1,1,0,0
24,8,23,9.921297959,2300800,0,0,1,0,0,0,1,1,0,0
25,12,23,8.874950303,2300800,0,0,1,0,0,1,0,1,0,0
27,16,23,3.0620098,2300800,1,0,0,0,0,1,0,1,0,0
23,14,23,16.04343298,2300600,0,0,0,1,0,1,0,1,0,0
17,18,23,3.0620098,2300600,1,0,0,0,0,1,0,1,0,0
4,12,23,3.0620098,2300200,1,0,0,0,0,1,0,1,0,0
16,12,23,8.874950303,2300200,0,0,1,0,0,1,0,1,0,0
20,10,23,5.980488929,2300200,0,1,0,0,0,0,1,1,0,0
18,12,23,9.921297959,2300500,0,0,1,0,0,0,1,1,0,0
17,18,23,31.82122021,2300500,0,0,0,0,1,1,0,1,0,0
20,12,23,3.0620098,2300500,1,0,0,0,0,1,0,1,0,0
18,16,23,5.980488929,2300500,0,1,0,0,0,0,1,1,0,0
6,12,23,5.980488929,2300200,0,1,0,0,0,0,1,1,0,0
5,12,23,8.874950303,2300200,0,0,1,0,0,1,0,1,0,0
5,18,23,16.04343298,2300100,0,0,0,1,0,1,0,1,0,0
5,16,23,9.921297959,2300100,0,0,1,0,0,0,1,1,0,0
4,14,23,3.448956817,2300700,1,0,0,0,0,0,1,1,0,0
13,18,23,3.448956817,2300500,1,0,0,0,0,0,1,1,0,0
3,14,23,3.0620098,2300100,1,0,0,0,0,1,0,1,0,0
4,14,23,3.448956817,2300100,1,0,0,0,0,0,1,1,0,0
4,14,23,5.980488929,2300200,0,1,0,0,0,0,1,1,0,0
5,16,23,5.325187858,2300200,0,1,0,0,0,1,0,1,0,0
9,12,23,3.0620098,2300400,1,0,0,0,0,1,0,1,0,0
12,12,23,3.0620098,2300700,1,0,0,0,0,1,0,1,0,0
13,14,23,3.448956817,2300700,1,0,0,0,0,0,1,1,0,0
25,12,23,8.874950303,2300900,0,0,1,0,0,1,0,1,0,0
29,12,23,3.448956817,2300900,1,0,0,0,0,0,1,1,0,0
14,18,23,9.921297959,2300400,0,0,1,0,0,0,1,1,0,0
13,18,23,8.874950303,2300400,0,0,1,0,0,1,0,1,0,0
25,14,23,5.980488929,2300600,0,1,0,0,0,0,1,1,0,0
29,12,23,8.874950303,2300600,0,0,1,0,0,1,0,1,0,0
25,5,23,31.82122021,2300100,0,0,0,0,1,1,0,1,0,0
5,12,23,8.874950303,2300500,0,0,1,0,0,1,0,1,0,0
4,14,23,3.448956817,2300500,1,0,0,0,0,0,1,1,0,0
12,24,23,5.980488929,2300500,0,1,0,0,0,0,1,1,0,0
3,14,23,5.325187858,2300100,0,1,0,0,0,1,0,1,0,0
2,14,23,5.325187858,2300100,0,1,0,0,0,1,0,1,0,0
8,12,23,5.980488929,2300500,0,1,0,0,0,0,1,1,0,0
20,14,23,5.325187858,2300300,0,1,0,0,0,1,0,1,0,0
9,14,23,5.325187858,2300500,0,1,0,0,0,1,0,1,0,0
8,14,23,3.0620098,2300500,1,0,0,0,0,1,0,1,0,0
14,12,23,3.0620098,2300700,1,0,0,0,0,1,0,1,0,0
8,14,23,3.0620098,2300200,1,0,0,0,0,1,0,1,0,0
