GEOID,65-69,70-74,75-79,80-84,85+,Male,Female,Other,Hispanic,Black,percentage,total_weight
2300100,0,0,0,0,1,0,1,0,1,0,47.7,12
2300100,0,0,0,0,1,0,1,1,0,0,34.5,2346
2300100,0,0,0,0,1,1,0,0,1,0,44.7,20
2300100,0,0,0,0,1,1,0,1,0,0,31.8,1218
2300100,0,0,0,1,0,0,1,0,1,0,27.2,30
2300100,0,0,0,1,0,0,1,1,0,0,17.8,2016
2300100,0,0,0,1,0,1,0,1,0,0,16.0,1340
2300100,0,0,1,0,0,0,1,0,0,1,21.6,5
2300100,0,0,1,0,0,0,1,0,1,0,16.0,17
2300100,0,0,1,0,0,0,1,1,0,0,9.9,1917
2300100,0,0,1,0,0,1,0,1,0,0,8.9,2111
2300100,0,1,0,0,0,0,1,0,1,0,9.9,24
2300100,0,1,0,0,0,0,1,1,0,0,6.0,3443
2300100,0,1,0,0,0,1,0,0,1,0,8.9,15
2300100,0,1,0,0,0,1,0,1,0,0,5.3,3289
2300100,1,0,0,0,0,0,1,0,0,1,8.2,19
2300100,1,0,0,0,0,0,1,0,1,0,5.8,12
2300100,1,0,0,0,0,0,1,1,0,0,3.4,4247
2300100,1,0,0,0,0,1,0,0,0,1,7.3,7
2300100,1,0,0,0,0,1,0,0,1,0,5.2,39
2300100,1,0,0,0,0,1,0,1,0,0,3.1,4174
2300200,0,0,0,0,1,0,1,0,1,0,47.7,5
2300200,0,0,0,0,1,0,1,1,0,0,34.5,2094
2300200,0,0,0,0,1,1,0,1,0,0,31.8,1454
2300200,0,0,0,1,0,0,1,1,0,0,17.8,2307
2300200,0,0,0,1,0,1,0,0,0,1,32.3,88
2300200,0,0,0,1,0,1,0,1,0,0,16.0,1896
2300200,0,0,1,0,0,0,1,0,1,0,16.0,15
2300200,0,0,1,0,0,0,1,1,0,0,9.9,3122
2300200,0,0,1,0,0,1,0,0,1,0,14.4,6
2300200,0,0,1,0,0,1,0,1,0,0,8.9,2787
2300200,0,1,0,0,0,0,1,0,1,0,9.9,78
2300200,0,1,0,0,0,0,1,1,0,0,6.0,4790
2300200,0,1,0,0,0,1,0,0,0,1,12.3,23
2300200,0,1,0,0,0,1,0,1,0,0,5.3,5337
2300200,1,0,0,0,0,0,1,0,1,0,5.8,60
2300200,1,0,0,0,0,0,1,1,0,0,3.4,6028
2300200,1,0,0,0,0,1,0,0,1,0,5.2,16
2300200,1,0,0,0,0,1,0,1,0,0,3.1,5658
2300300,0,0,0,0,1,0,1,0,1,0,47.7,13
2300300,0,0,0,0,1,0,1,1,0,0,34.5,2540
2300300,0,0,0,0,1,1,0,1,0,0,31.8,1245
