GEOID,65-69,70-74,75-79,80-84,85+,Male,Female,Hispanic,Black,Other,total_population,total_affected_population,percentage
23001,0,0,0,0,1,0,1,0,0,1,1566,541.0101319,34.54726257
23001,0,0,0,0,1,0,1,0,1,0,9,5.117087692,56.85652991
23001,0,0,0,0,1,0,1,1,0,0,8,3.818125491,47.72656864
23001,0,0,0,0,1,0,1,1,1,0,1,0.695084769,69.50847688
23001,0,0,0,0,1,1,0,0,0,1,814,259.0247325,31.82122021
23001,0,0,0,0,1,1,0,0,1,0,2,1.076351116,53.81755581
23001,0,0,0,0,1,1,0,1,0,0,11,4.913735674,44.67032431
23001,0,0,0,1,0,0,1,0,0,1,1274,226.3913929,17.77012503
23001,0,0,0,1,0,0,1,0,1,0,7,2.453248432,35.04640617
23001,0,0,0,1,0,0,1,1,0,0,12,3.265185812,27.20988176
23001,0,0,0,1,0,1,0,0,0,1,917,147.1182804,16.04343298
23001,0,0,0,1,0,1,0,0,1,0,8,2.58403315,32.30041438
23001,0,0,0,1,0,1,0,1,0,0,5,1.242153021,24.84306042
23001,0,0,0,1,0,1,0,1,1,0,1,0.452146914,45.21469144
23001,0,0,1,0,0,0,1,0,0,1,1886,187.1156795,9.921297959
23001,0,0,1,0,0,0,1,0,1,0,26,5.607773562,21.56835985
23001,0,0,1,0,0,0,1,1,0,0,6,0.960183935,16.00306559
23001,0,0,1,0,0,1,0,0,0,1,1565,138.8929722,8.874950303
23001,0,0,1,0,0,1,0,0,1,0,10,1.956039179,19.56039179
23001,0,0,1,0,0,1,0,1,0,0,26,3.748672155,14.41796983
23001,0,1,0,0,0,0,1,0,0,1,2829,169.1880318,5.980488929
23001,0,1,0,0,0,0,1,0,1,0,20,2.741025852,13.70512926
23001,0,1,0,0,0,0,1,1,0,0,13,1.288607393,9.912364563
23001,0,1,0,0,0,0,1,1,1,0,1,0.215514482,21.55144825
23001,0,1,0,0,0,1,0,0,0,1,2502,133.2362002,5.325187858
23001,0,1,0,0,0,1,0,0,1,0,32,3.940567851,12.31427453
23001,0,1,0,0,0,1,0,1,0,0,20,1.773373265,8.866866325
23001,0,1,0,0,0,1,0,1,1,0,1,0.195446623,19.54466227
23001,1,0,0,0,0,0,1,0,0,1,3262,112.5049714,3.448956817
23001,1,0,0,0,0,0,1,0,1,0,26,2.129023353,8.188551357
23001,1,0,0,0,0,0,1,1,0,0,27,1.571263234,5.819493458
23001,1,0,0,0,0,1,0,0,0,1,3024,92.59517636,3.0620098
23001,1,0,0,0,0,1,0,0,1,0,43,3.143350457,7.310117342
23001,1,0,0,0,0,1,0,1,0,0,21,1.087980829,5.18086109
23003,0,0,0,0,1,0,1,0,0,1,1480,511.2994861,34.54726257
23003,0,0,0,0,1,0,1,0,1,0,5,2.842826495,56.85652991
23003,0,0,0,0,1,0,1,1,0,0,3,1.431797059,47.72656864
23003,0,0,0,0,1,1,0,0,0,1,718,228.4763611,31.82122021
23003,0,0,0,0,1,1,0,0,1,0,3,1.614526674,53.81755581
23003,0,0,0,0,1,1,0,1,0,0,3,1.340109729,44.67032431
23003,0,0,0,1,0,0,1,0,0,1,1145,203.4679316,17.77012503
23003,0,0,0,1,0,0,1,0,1,0,9,3.154176555,35.04640617
23003,0,0,0,1,0,0,1,1,0,0,6,1.632592906,27.20988176
23003,0,0,0,1,0,1,0,0,0,1,908,145.6743715,16.04343298
23003,0,0,0,1,0,1,0,0,1,0,2,0.646008288,32.30041438
23003,0,0,0,1,0,1,0,1,0,0,6,1.490583625,24.84306042
23003,0,0,1,0,0,0,1,0,0,1,1619,160.6258139,9.921297959
23003,0,0,1,0,0,0,1,0,1,0,7,1.50978519,21.56835985
23003,0,0,1,0,0,0,1,1,0,0,3,0.480091968,16.00306559
23003,0,0,1,0,0,1,0,0,0,1,1384,122.8293122,8.874950303
23003,0,0,1,0,0,1,0,0,1,0,2,0.391207836,19.56039179
23003,0,0,1,0,0,1,0,1,0,0,4,0.576718793,14.41796983
23003,0,1,0,0,0,0,1,0,0,1,2160,129.1785609,5.980488929
23003,0,1,0,0,0,0,1,0,1,0,5,0.685256463,13.70512926
23003,0,1,0,0,0,0,1,1,0,0,8,0.792989165,9.912364563
23003,0,1,0,0,0,0,1,1,1,0,2,0.431028965,21.55144825
23003,0,1,0,0,0,1,0,0,0,1,2131,113.4797533,5.325187858
23003,0,1,0,0,0,1,0,0,1,0,4,0.492570981,12.31427453
23003,0,1,0,0,0,1,0,1,0,0,6,0.53201198,8.866866325
23003,1,0,0,0,0,0,1,0,0,1,2693,92.88040708,3.448956817
23003,1,0,0,0,0,0,1,0,1,0,5,0.409427568,8.188551357
23003,1,0,0,0,0,0,1,1,0,0,16,0.931118953,5.819493458
23003,1,0,0,0,0,1,0,0,0,1,2574,78.81613225,3.0620098
23003,1,0,0,0,0,1,0,0,1,0,17,1.242719948,7.310117342
23003,1,0,0,0,0,1,0,1,0,0,7,0.362660276,5.18086109
23003,1,0,0,0,0,1,0,1,1,0,2,0.240090866,12.00454328
23005,0,0,0,0,1,0,1,0,0,1,4603,1590.210496,34.54726257
23005,0,0,0,0,1,0,1,0,1,0,26,14.78269778,56.85652991
23005,0,0,0,0,1,0,1,1,0,0,34,16.22703334,47.72656864
23005,0,0,0,0,1,0,1,1,1,0,2,1.390169538,69.50847688
23005,0,0,0,0,1,1,0,0,0,1,2329,741.1162188,31.82122021
23005,0,0,0,0,1,1,0,0,1,0,15,8.072633371,53.81755581
23005,0,0,0,0,1,1,0,1,0,0,27,12.06098756,44.67032431
23005,0,0,0,1,0,0,1,0,0,1,3711,659.44934,17.77012503
23005,0,0,0,1,0,0,1,0,1,0,32,11.21484997,35.04640617
23005,0,0,0,1,0,0,1,1,0,0,18,4.897778718,27.20988176
23005,0,0,0,1,0,0,1,1,1,0,2,0.965513681,48.27568407
23005,0,0,0,1,0,1,0,0,0,1,2658,426.4344486,16.04343298
23005,0,0,0,1,0,1,0,0,1,0,16,5.1680663,32.30041438
23005,0,0,0,1,0,1,0,1,0,0,13,3.229597855,24.84306042
