county,countya,tracta,weight,percentage,Total_Affected_Population
Androscoggin County,1,10100,330,10.2,33.77613411
Androscoggin County,1,10200,1135,14.4,163.4447282
Androscoggin County,1,10300,462,14.6,67.42851971
Androscoggin County,1,10400,623,16.2,100.7756395
Androscoggin County,1,10500,355,12.0,42.53297126
Androscoggin County,1,10600,566,9.3,52.50448178
Androscoggin County,1,10700,610,10.1,61.60520614
Androscoggin County,1,10800,908,10.3,93.26606936
Androscoggin County,1,20100,272,12.6,34.16815793
Androscoggin County,1,20200,151,7.8,11.8259298
Androscoggin County,1,20301,341,17.8,60.58004875
Androscoggin County,1,20302,264,8.9,23.59718385
Androscoggin County,1,20303,223,10.0,22.21703787
Androscoggin County,1,20401,83,9.9,8.206825013
Androscoggin County,1,20402,170,11.0,18.76788428
Androscoggin County,1,20500,650,10.8,70.40102231
Androscoggin County,1,20600,685,10.5,71.60477535
Androscoggin County,1,20700,1227,11.3,138.9097889
Androscoggin County,1,20801,662,10.7,70.51652363
Androscoggin County,1,20802,861,9.2,79.40980671
Androscoggin County,1,20900,904,13.0,117.3513015
Androscoggin County,1,30100,1224,12.3,151.1626236
Androscoggin County,1,30200,753,9.7,72.85571693
Androscoggin County,1,40000,647,7.1,46.14488641
Androscoggin County,1,41000,1130,8.6,96.76620279
Androscoggin County,1,41500,941,9.4,88.03175665
Androscoggin County,1,42000,1112,8.8,98.05915521
Androscoggin County,1,43000,469,9.9,46.31793863
Androscoggin County,1,44000,503,9.7,48.7322648
Androscoggin County,1,45000,422,8.0,33.84676914
Androscoggin County,1,46000,876,9.6,84.4766735
Androscoggin County,1,46500,1156,9.3,107.5684369
Aroostook County,3,950100,784,9.1,71.63551302
Aroostook County,3,950200,769,11.5,88.63503935
Aroostook County,3,950300,1322,12.1,160.5851188
Aroostook County,3,950400,519,10.4,53.76960253
Aroostook County,3,950600,984,11.8,116.3784434
Aroostook County,3,950700,811,9.5,76.66851169
Aroostook County,3,950900,522,8.9,46.50998365
Aroostook County,3,951000,758,9.8,73.95115667
Aroostook County,3,951100,600,9.0,54.1739654
Aroostook County,3,951200,515,11.1,56.9410618
Aroostook County,3,951300,870,11.7,101.8962783
Aroostook County,3,951400,444,10.4,46.30756776
Aroostook County,3,951600,392,11.3,44.41829934
Aroostook County,3,951700,966,9.5,92.14683497
Aroostook County,3,951800,675,9.4,63.27229762
Aroostook County,3,951900,823,15.1,124.248866
Aroostook County,3,952000,469,9.1,42.5717565
Aroostook County,3,952100,631,11.7,74.06663877
Aroostook County,3,952300,610,9.0,55.08641425
Aroostook County,3,952400,854,13.0,111.3775921
Aroostook County,3,952500,512,11.3,57.84887978
Aroostook County,3,952600,710,8.8,62.48592637
Aroostook County,3,952700,670,9.3,62.07243167
Aroostook County,3,952900,756,8.9,67.45796336
Cumberland County,5,100,361,9.5,34.45264878
Cumberland County,5,200,390,8.6,33.49018006
Cumberland County,5,300,435,8.2,35.59807966
Cumberland County,5,500,294,8.4,24.65658519
Cumberland County,5,600,295,8.6,25.48874074
Cumberland County,5,1000,195,7.7,15.10095975
Cumberland County,5,1100,469,13.7,64.14540292
Cumberland County,5,1200,101,7.7,7.799093755
Cumberland County,5,1300,505,7.9,39.81257283
Cumberland County,5,1500,489,9.7,47.53212017
Cumberland County,5,1700,736,9.4,69.12955393
Cumberland County,5,1800,788,12.7,99.69471362
Cumberland County,5,1900,794,10.2,80.7912343
Cumberland County,5,2001,801,11.6,92.77455101
