FIPS,state2,stusab,puma,county,county1,tracta,year,male,female,white,black,asian,hispanic,indigenous,othermulti,65_and_66,67_to_69,70_to_74,75_to_79,80_to_84,85_and_over,65_to_69,total_population,male_proportion,female_proportion,white_proportion,black_proportion,asian_proportion,hispanic_proportion,indigenous_proportion,othermulti_proportion,65_and_66_proportion,67_to_69_proportion,70_to_74_proportion,75_to_79_proportion,80_to_84_proportion,85_and_over_proportion,65_to_69_proportion,alzheimer_probability,GISJOIN,YEAR,STUSAB,STATE,statea1,COUNTY,COUNTYA,tracta1,GEO_ID,TL_GEO_ID,NAME_E,AQ44E035,AQ44E036,AQ44E037,AQ44E038,AQ44E039,AQ44E040,AQ44E041,AQ44E042,AQ44E076,AQ44E077,AQ44E078,AQ44E079,AQ44E080,AQ44E081,AQ44E082,AQ44E083,NAME_M,edu09,edu12,edu14,edu16,edu19,total_edu_population,edu09_pro,edu12_pro,edu14_pro,edu16_pro,edu19_pro,education,percentage
23005000100,23,ME,1000,Cumberland County,5,100,2020,149,212,341,8,1,1,0,10,58,73,99,57,42,32,131,361,0.412742382,0.587257618,0.944598338,0.022160665,0.002770083,0.002770083,0,0.027700831,0.16066482,0.202216066,0.274238227,0.157894737,0.11634349,0.088642659,0.362880886,7.064559467,G2300050000100,2018-2022,ME,Maine,23,Cumberland County,5,100,1400000US23005000100,23005000100,"Census Tract 1, Cumberland County, Maine",249,0,0,22,135,0,66,26,248,22,0,13,42,73,43,55,"Census Tract 1, Cumberland County, Maine",22,35,250,109,81,497,0.044265594,0.070422535,0.503018109,0.219315895,0.162977867,14.89134809,5.2
23005000200,23,ME,1000,Cumberland County,5,200,2020,194,196,369,7,4,1,0,9,55,82,126,65,33,29,137,390,0.497435897,0.502564103,0.946153846,0.017948718,0.01025641,0.002564103,0,0.023076923,0.141025641,0.21025641,0.323076923,0.166666667,0.084615385,0.074358974,0.351282051,6.606807201,G2300050000200,2018-2022,ME,Maine,23,Cumberland County,5,200,1400000US23005000200,23005000200,"Census Tract 2, Cumberland County, Maine",254,0,40,86,31,0,23,74,297,40,56,96,18,0,31,56,"Census Tract 2, Cumberland County, Maine",40,278,49,54,130,551,0.072595281,0.504537205,0.08892922,0.09800363,0.235934664,14.00362977,5.3
23005000200,23,ME,1000,Cumberland County,5,200,2020,194,196,369,7,4,1,0,9,55,82,126,65,33,29,137,390,0.497435897,0.502564103,0.946153846,0.017948718,0.01025641,0.002564103,0,0.023076923,0.141025641,0.21025641,0.323076923,0.166666667,0.084615385,0.074358974,0.351282051,6.606807201,G2300190000200,2018-2022,ME,Maine,23,Penobscot County,19,200,1400000US23019000200,23019000200,"Census Tract 2, Penobscot County, Maine",273,50,17,42,23,16,112,13,329,0,41,163,56,1,61,7,"Census Tract 2, Penobscot County, Maine",50,263,96,173,20,602,0.083056478,0.436877076,0.159468439,0.287375415,0.033222591,13.45182723,5.7
23019000200,23,ME,300,Penobscot County,19,200,2020,267,406,639,1,5,5,3,20,92,127,162,129,66,97,219,673,0.396731055,0.603268945,0.949479941,0.001485884,0.007429421,0.007429421,0.004457652,0.029717682,0.136701337,0.188707281,0.240713224,0.191679049,0.098068351,0.144130758,0.325408618,7.900250819,G2300050000200,2018-2022,ME,Maine,23,Cumberland County,5,200,1400000US23005000200,23005000200,"Census Tract 2, Cumberland County, Maine",254,0,40,86,31,0,23,74,297,40,56,96,18,0,31,56,"Census Tract 2, Cumberland County, Maine",40,278,49,54,130,551,0.072595281,0.504537205,0.08892922,0.09800363,0.235934664,14.00362977,6.4
23019000200,23,ME,300,Penobscot County,19,200,2020,267,406,639,1,5,5,3,20,92,127,162,129,66,97,219,673,0.396731055,0.603268945,0.949479941,0.001485884,0.007429421,0.007429421,0.004457652,0.029717682,0.136701337,0.188707281,0.240713224,0.191679049,0.098068351,0.144130758,0.325408618,7.900250819,G2300190000200,2018-2022,ME,Maine,23,Penobscot County,19,200,1400000US23019000200,23019000200,"Census Tract 2, Penobscot County, Maine",273,50,17,42,23,16,112,13,329,0,41,163,56,1,61,7,"Census Tract 2, Penobscot County, Maine",50,263,96,173,20,602,0.083056478,0.436877076,0.159468439,0.287375415,0.033222591,13.45182723,6.8
23005000300,23,ME,1000,Cumberland County,5,300,2020,220,215,386,26,4,2,1,16,71,96,136,74,36,22,167,435,0.505747126,0.494252874,0.887356322,0.059770115,0.009195402,0.004597701,0.002298851,0.036781609,0.163218391,0.220689655,0.312643678,0.170114943,0.082758621,0.050574713,0.383908046,6.417050259,G2300050000300,2018-2022,ME,Maine,23,Cumberland County,5,300,1400000US23005000300,23005000300,"Census Tract 3, Cumberland County, Maine",142,0,0,44,10,0,65,23,109,0,14,22,9,16,33,15,"Census Tract 3, Cumberland County, Maine",0,80,35,98,38,251,0,0.3187251,0.139442231,0.390438247,0.151394422,14.9003984,4.7
23005000300,23,ME,1000,Cumberland County,5,300,2020,220,215,386,26,4,2,1,16,71,96,136,74,36,22,167,435,0.505747126,0.494252874,0.887356322,0.059770115,0.009195402,0.004597701,0.002298851,0.036781609,0.163218391,0.220689655,0.312643678,0.170114943,0.082758621,0.050574713,0.383908046,6.417050259,G2300190000300,2018-2022,ME,Maine,23,Penobscot County,19,300,1400000US23019000300,23019000300,"Census Tract 3, Penobscot County, Maine",500,12,38,217,58,39,45,91,584,0,14,221,88,21,139,101,"Census Tract 3, Penobscot County, Maine",12,490,206,184,192,1084,0.011070111,0.45202952,0.1900369,0.169741697,0.177121771,14.26568264,5.0
23019000300,23,ME,300,Penobscot County,19,300,2020,441,575,978,4,4,6,6,18,121,158,248,176,146,167,279,1016,0.434055118,0.565944882,0.962598425,0.003937008,0.003937008,0.005905512,0.005905512,0.017716535,0.119094488,0.155511811,0.244094488,0.173228346,0.143700787,0.164370079,0.274606299,8.775637965,G2300050000300,2018-2022,ME,Maine,23,Cumberland County,5,300,1400000US23005000300,23005000300,"Census Tract 3, Cumberland County, Maine",142,0,0,44,10,0,65,23,109,0,14,22,9,16,33,15,"Census Tract 3, Cumberland County, Maine",0,80,35,98,38,251,0,0.3187251,0.139442231,0.390438247,0.151394422,14.9003984,6.5
23019000300,23,ME,300,Penobscot County,19,300,2020,441,575,978,4,4,6,6,18,121,158,248,176,146,167,279,1016,0.434055118,0.565944882,0.962598425,0.003937008,0.003937008,0.005905512,0.005905512,0.017716535,0.119094488,0.155511811,0.244094488,0.173228346,0.143700787,0.164370079,0.274606299,8.775637965,G2300190000300,2018-2022,ME,Maine,23,Penobscot County,19,300,1400000US23019000300,23019000300,"Census Tract 3, Penobscot County, Maine",500,12,38,217,58,39,45,91,584,0,14,221,88,21,139,101,"Census Tract 3, Penobscot County, Maine",12,490,206,184,192,1084,0.011070111,0.45202952,0.1900369,0.169741697,0.177121771,14.26568264,6.9
23019000400,23,ME,300,Penobscot County,19,400,2020,143,213,332,0,5,5,3,11,51,74,99,55,40,37,125,356,0.401685393,0.598314607,0.93258427,0,0.014044944,0.014044944,0.008426966,0.030898876,0.143258427,0.207865169,0.278089888,0.154494382,0.112359551,0.103932584,0.351123596,7.194730795,G2300190000400,2018-2022,ME,Maine,23,Penobscot County,19,400,1400000US23019000400,23019000400,"Census Tract 4, Penobscot County, Maine",193,5,2,14,49,7,64,52,175,6,0,37,27,44,28,33,"Census Tract 4, Penobscot County, Maine",11,53,127,92,85,368,0.029891304,0.144021739,0.345108696,0.25,0.230978261,15.21739131,5.1
