tracta,percentage,Total_Affected_Population.x,county,countya
100,7.7,38.01037868,Cumberland County,5
200,9.1,104.5925322,Cumberland County,5
200,9.1,104.5925322,Penobscot County,19
300,9.1,121.8356507,Cumberland County,5
300,9.1,121.8356507,Penobscot County,19
400,7.7,28.16992094,Penobscot County,19
500,7.7,62.90456364,Cumberland County,5
500,7.7,62.90456364,Penobscot County,19
600,7.1,49.43991755,Cumberland County,5
600,7.1,49.43991755,Penobscot County,19
700,8.5,64.26895121,Penobscot County,19
900,11.8,144.5075837,Penobscot County,19
1000,6.6,9.052115033,Cumberland County,5
1100,10.9,52.60349625,Cumberland County,5
1200,5.1,6.935999934,Cumberland County,5
1300,5.8,12.96910446,Cumberland County,5
1500,7.2,26.87489392,Cumberland County,5
1700,7.3,42.57541893,Cumberland County,5
1800,10.3,103.7303894,Cumberland County,5
1900,7.6,62.02765382,Cumberland County,5
2000,7.6,109.6190006,Penobscot County,19
2001,10.6,70.4280976,Cumberland County,5
2002,6.0,20.11281109,Cumberland County,5
2101,6.5,32.07443411,Cumberland County,5
2102,8.6,85.27238535,Cumberland County,5
2200,13.6,186.7912657,Cumberland County,5
2300,9.9,49.59364864,Cumberland County,5
2400,5.8,28.92092506,Cumberland County,5
2501,8.5,92.42749088,Cumberland County,5
2503,6.8,44.24033247,Cumberland County,5
2504,11.4,71.42419318,Cumberland County,5
2600,7.6,61.40221154,Cumberland County,5
2700,8.9,64.5834621,Cumberland County,5
2800,9.6,45.58337511,Cumberland County,5
2901,10.6,108.2477596,Cumberland County,5
2902,9.7,57.10175548,Cumberland County,5
3000,7.8,68.88784777,Penobscot County,19
3001,8.8,85.99376861,Cumberland County,5
3002,11.6,18.86460605,Cumberland County,5
3100,10.0,60.2506964,Cumberland County,5
3200,7.8,73.20237243,Cumberland County,5
3300,7.3,39.16879663,Cumberland County,5
3400,6.2,58.47943393,Cumberland County,5
3500,9.0,102.450665,Cumberland County,5
3701,5.9,61.9839103,Cumberland County,5
3702,7.9,100.7985055,Cumberland County,5
4001,7.4,29.21022711,Cumberland County,5
4002,9.6,136.7837071,Cumberland County,5
4100,7.9,82.43858283,Cumberland County,5
4100,7.9,82.43858283,Penobscot County,19
4200,9.3,60.5441389,Penobscot County,19
4201,6.2,34.81104666,Cumberland County,5
4202,7.8,79.51513056,Cumberland County,5
4300,11.1,109.5959396,Penobscot County,19
4401,8.1,58.22340114,Cumberland County,5
4402,7.2,51.67172702,Cumberland County,5
4501,8.8,67.86873867,Cumberland County,5
4502,6.3,86.49134323,Cumberland County,5
4600,7.1,43.35250947,Cumberland County,5
4701,5.8,26.48327957,Cumberland County,5
4702,7.2,75.47353238,Cumberland County,5
4802,7.4,51.83791314,Cumberland County,5
4803,8.1,68.00773146,Cumberland County,5
4804,7.2,60.78583336,Cumberland County,5
4805,9.8,53.3278818,Cumberland County,5
5000,8.3,31.35196409,Penobscot County,19
5100,7.9,63.62452148,York County,31
5200,8.1,70.06395725,York County,31
5301,8.4,34.90374585,York County,31
5302,7.8,46.29514604,York County,31
5400,9.3,78.06367469,York County,31
6100,8.2,39.04550106,Penobscot County,19
6103,8.0,73.86705304,York County,31
6104,7.1,58.30233998,York County,31
6105,7.5,42.16201115,York County,31
6106,7.5,30.72027314,York County,31
6200,10.5,84.43464807,Penobscot County,19
6300,7.0,7.14480329,Penobscot County,19
7100,9.3,64.72183006,Penobscot County,19
7200,8.3,45.64758046,Penobscot County,19
8001,7.8,58.97782949,Penobscot County,19
9000,7.4,88.26744589,Penobscot County,19
10000,7.0,39.57064652,Penobscot County,19
10100,7.9,103.1382969,Androscoggin County,1
10100,7.9,103.1382969,Kennebec County,11
10300,11.1,106.8100855,Androscoggin County,1
10300,11.1,106.8100855,Kennebec County,11
10400,13.0,164.9533886,Androscoggin County,1
10400,13.0,164.9533886,Kennebec County,11
10500,11.0,163.6965446,Androscoggin County,1
10500,11.0,163.6965446,Kennebec County,11
10600,8.1,38.58477721,Androscoggin County,1
10601,8.5,76.3489056,Kennebec County,11
10602,9.2,61.37057755,Kennebec County,11
10700,10.7,132.4355655,Androscoggin County,1
10700,10.7,132.4355655,Kennebec County,11
10800,9.2,80.81453555,Androscoggin County,1
10801,8.7,39.70241875,Kennebec County,11
10803,12.4,42.02299576,Kennebec County,11
10804,8.7,60.40568209,Kennebec County,11
10900,11.2,35.82306242,Kennebec County,11
11000,8.2,126.5054491,Kennebec County,11
11000,8.2,126.5054491,Penobscot County,19
11100,11.1,97.24170348,Cumberland County,5
11203,7.3,80.07375225,Cumberland County,5
11204,12.6,133.3196052,Cumberland County,5
11205,9.4,68.73554601,Cumberland County,5
11206,9.0,59.27952541,Cumberland County,5
11300,6.6,27.82462362,Cumberland County,5
11500,7.4,43.23382794,Cumberland County,5
12000,7.7,80.53138605,Kennebec County,11
12000,7.7,80.53138605,Penobscot County,19
12001,7.2,44.98433876,Cumberland County,5
12002,6.2,25.94349681,Cumberland County,5
12500,7.3,33.73931959,Penobscot County,19
13000,8.1,118.4358137,Kennebec County,11
13000,8.1,118.4358137,Penobscot County,19
13001,6.5,29.9711499,Cumberland County,5
13002,8.7,40.09675482,Cumberland County,5
13500,7.6,31.04385654,Penobscot County,19
14000,8.5,31.34046148,Penobscot County,19
14001,7.0,85.59158334,Cumberland County,5
14001,7.0,85.59158334,Kennebec County,11
14002,7.5,69.51102187,Cumberland County,5
14002,7.5,69.51102187,Kennebec County,11
14500,6.0,50.71547785,Kennebec County,11
15000,8.5,168.1295129,Cumberland County,5
15000,8.5,168.1295129,Kennebec County,11
15000,8.5,168.1295129,Penobscot County,19
15500,7.4,97.51434194,Kennebec County,11
15500,7.4,97.51434194,Penobscot County,19
16000,7.0,61.32064304,Kennebec County,11
16001,8.2,79.94393423,Cumberland County,5
16002,7.7,34.26287532,Cumberland County,5
16500,8.1,50.72396614,Cumberland County,5
17000,7.4,61.21583056,Kennebec County,11
17002,6.3,41.45078131,Cumberland County,5
17003,7.4,43.76228961,Cumberland County,5
17004,7.1,35.93291212,Cumberland County,5
17101,6.8,66.14713514,Cumberland County,5
17102,6.4,59.28841358,Cumberland County,5
17303,8.3,107.1857699,Cumberland County,5
17305,7.2,70.37698455,Cumberland County,5
17306,7.2,43.25838429,Cumberland County,5
17307,8.3,47.97372091,Cumberland County,5
17308,12.4,219.0414397,Cumberland County,5
18000,7.8,125.6473732,Kennebec County,11
18000,7.8,125.6473732,Penobscot County,19
19000,7.9,28.58199579,Kennebec County,11
20000,6.8,39.32552583,Kennebec County,11
20001,6.5,43.83319557,York County,31
20002,7.7,66.14753585,York County,31
20100,12.6,38.37436374,Androscoggin County,1
20200,8.3,13.16183715,Androscoggin County,1
20301,18.7,87.9523739,Androscoggin County,1
20302,7.9,46.64855715,Androscoggin County,1
20303,9.7,17.52757718,Androscoggin County,1
20401,10.5,8.686711872,Androscoggin County,1
20402,10.5,48.1876539,Androscoggin County,1
20500,8.9,130.1124617,Androscoggin County,1
20500,8.9,130.1124617,Kennebec County,11
20500,8.9,130.1124617,Penobscot County,19
20600,9.5,62.18158074,Androscoggin County,1
20700,10.8,123.6324941,Androscoggin County,1
20801,9.5,62.08013978,Androscoggin County,1
20802,9.2,80.60160354,Androscoggin County,1
20900,12.3,102.8475783,Androscoggin County,1
21000,7.8,114.1282064,Kennebec County,11
21000,7.8,114.1282064,York County,31
21500,7.9,31.28952105,Penobscot County,19
22000,8.0,111.4600301,Kennebec County,11
22000,8.0,111.4600301,York County,31
22500,7.5,65.39748766,Penobscot County,19
22500,7.5,65.39748766,York County,31
23000,7.3,42.09963238,York County,31
23001,11.0,85.26946922,Kennebec County,11
23002,9.3,76.7126504,Kennebec County,11
23501,7.1,60.17342758,York County,31
23502,6.8,48.49633384,York County,31
24001,6.9,23.96764444,York County,31
24002,6.7,46.03593168,York County,31
24101,9.4,68.29203332,Kennebec County,11
24102,8.3,61.97723023,Kennebec County,11
24201,11.4,72.88668687,Kennebec County,11
24202,12.6,88.38992453,Kennebec County,11
24500,9.3,54.75060334,Penobscot County,19
24501,7.0,77.59270664,York County,31
24502,7.7,27.93461501,York County,31
25001,7.8,73.89128163,Kennebec County,11
25002,9.3,27.24780523,Kennebec County,11
25100,9.0,30.01719907,York County,31
25203,11.9,57.0538664,York County,31
25204,15.5,46.43523013,York County,31
25205,9.6,60.93714211,York County,31
25206,7.8,36.80080906,York County,31
25300,9.9,62.98638468,York County,31
25400,7.6,51.29920463,York County,31
25500,9.5,35.55761469,Penobscot County,19
26000,7.0,49.3754773,York County,31
26500,8.0,31.92290731,Penobscot County,19
27000,8.4,241.1214426,Penobscot County,19
27000,8.4,241.1214426,York County,31
28000,8.6,34.54689751,Penobscot County,19
28001,7.2,42.49701796,York County,31
28003,9.8,64.29427678,York County,31
28004,9.0,127.9842686,York County,31
28500,11.4,31.85852763,Penobscot County,19
29000,8.9,107.6658527,Penobscot County,19
29000,8.9,107.6658527,York County,31
30000,8.0,60.22551577,Penobscot County,19
30100,12.4,88.61271294,Androscoggin County,1
30101,8.1,45.58042893,York County,31
30102,10.0,39.11687226,York County,31
30200,8.7,63.24139623,Androscoggin County,1
30201,10.0,65.98345131,York County,31
30203,7.9,52.52445027,York County,31
30204,11.7,41.98608714,York County,31
30205,10.9,58.74497619,York County,31
30300,8.8,69.27273513,York County,31
31000,8.8,93.96106752,Penobscot County,19
31000,8.8,93.96106752,York County,31
31100,10.4,129.4156728,Penobscot County,19
31200,8.0,42.7579916,Penobscot County,19
31300,6.8,51.44735854,Penobscot County,19
32001,8.3,66.09821186,York County,31
32002,8.4,55.3129944,York County,31
33000,8.8,99.98630774,York County,31
34002,6.2,33.33857166,York County,31
34003,7.9,81.37007774,York County,31
34004,8.7,50.50168699,York County,31
34005,8.1,47.86216415,York County,31
34006,8.1,50.78871125,York County,31
35001,6.9,26.2784389,York County,31
35002,8.3,58.97433374,York County,31
36002,7.1,45.37408105,York County,31
36003,9.5,97.78332129,York County,31
36004,7.9,105.1547495,York County,31
37000,8.3,142.6135097,York County,31
38001,8.3,169.3324382,York County,31
38002,9.3,63.67253657,York County,31
40000,6.1,33.82297141,Androscoggin County,1
41000,7.5,137.8250187,Androscoggin County,1
41000,7.5,137.8250187,Waldo County,27
41500,8.7,86.32334055,Androscoggin County,1
42000,7.6,229.8399063,Androscoggin County,1
42000,7.6,229.8399063,Waldo County,27
43000,8.4,246.1994041,Androscoggin County,1
43000,8.4,246.1994041,Waldo County,27
44000,7.1,134.3344603,Androscoggin County,1
44000,7.1,134.3344603,Waldo County,27
45000,7.1,112.1292696,Androscoggin County,1
45000,7.1,112.1292696,Waldo County,27
46000,8.6,69.80918045,Androscoggin County,1
46001,7.6,30.63268819,Waldo County,27
46002,7.5,64.95024336,Waldo County,27
46500,8.8,103.6054503,Androscoggin County,1
47000,7.0,57.5793662,Waldo County,27
940000,7.7,10.7677681,Penobscot County,19
950100,8.3,51.37690067,Aroostook County,3
950200,11.8,95.911193,Aroostook County,3
950300,11.9,136.7487943,Aroostook County,3
950400,10.0,50.08957859,Aroostook County,3
950600,11.3,94.20109145,Aroostook County,3
950700,9.1,84.32115355,Aroostook County,3
950900,7.9,47.00237771,Aroostook County,3
951000,9.4,69.49661804,Aroostook County,3
951100,8.1,41.78303973,Aroostook County,3
951200,10.0,52.17724833,Aroostook County,3
951300,10.5,92.87766588,Aroostook County,3
951400,10.1,57.32691436,Aroostook County,3
951600,10.8,31.45428253,Aroostook County,3
951700,8.2,108.1002994,Aroostook County,3
951800,8.2,44.01243761,Aroostook County,3
951900,14.4,105.9462036,Aroostook County,3
952000,8.5,56.47227096,Aroostook County,3
952100,11.3,74.43966269,Aroostook County,3
952300,8.5,46.56107648,Aroostook County,3
952400,11.7,106.6086763,Aroostook County,3
952500,10.5,54.28646204,Aroostook County,3
952600,8.3,54.86007292,Aroostook County,3
952700,8.4,51.66709737,Aroostook County,3
952900,8.4,60.61093564,Aroostook County,3
955100,8.1,67.44617532,Washington County,29
955300,8.9,27.30664561,Washington County,29
955400,8.4,20.80187731,Washington County,29
955500,10.1,88.23446408,Washington County,29
955600,6.0,24.45196808,Washington County,29
955700,8.3,44.92203933,Washington County,29
955800,7.8,58.37033109,Washington County,29
955900,8.3,58.06637042,Washington County,29
956100,8.7,36.78586001,Washington County,29
956200,10.8,59.2978635,Washington County,29
956300,8.2,54.88507232,Washington County,29
956400,8.8,71.043203,Washington County,29
956500,8.7,66.01139598,Washington County,29
960301,7.3,31.85376796,Piscataquis County,21
960302,6.9,34.310568,Piscataquis County,21
960400,7.2,25.5553622,Piscataquis County,21
960500,7.8,27.62155395,Piscataquis County,21
960600,9.1,56.43051918,Piscataquis County,21
960700,10.5,122.4892666,Piscataquis County,21
960800,8.6,61.32882925,Piscataquis County,21
960900,7.0,27.5678192,Piscataquis County,21
965100,8.1,79.69590692,Hancock County,9
965100,8.1,79.69590692,Oxford County,17
965200,7.4,34.99363654,Hancock County,9
965300,7.5,90.67842786,Hancock County,9
965301,9.2,21.11216711,Somerset County,25
965302,8.9,65.49163386,Somerset County,25
965400,8.3,121.7148396,Hancock County,9
965400,8.3,121.7148396,Oxford County,17
965500,8.4,34.52791013,Oxford County,17
965503,9.6,97.94885166,Hancock County,9
965504,8.1,64.4532277,Hancock County,9
965600,10.6,148.9270591,Oxford County,17
965600,10.6,148.9270591,Somerset County,25
965700,8.4,176.2382901,Hancock County,9
965700,8.4,176.2382901,Oxford County,17
965700,8.4,176.2382901,Somerset County,25
965800,8.4,170.556525,Hancock County,9
965800,8.4,170.556525,Oxford County,17
965800,8.4,170.556525,Somerset County,25
965900,7.7,178.3972261,Hancock County,9
965900,7.7,178.3972261,Oxford County,17
965900,7.7,178.3972261,Somerset County,25
966000,9.4,105.2685762,Hancock County,9
966000,9.4,105.2685762,Somerset County,25
966001,7.5,36.44531246,Oxford County,17
966002,6.5,24.08245885,Oxford County,17
966100,8.5,142.777752,Hancock County,9
966100,8.5,142.777752,Oxford County,17
966100,8.5,142.777752,Somerset County,25
966200,9.3,226.2039383,Hancock County,9
