FIPS,state,stusab,puma,county,county1,tracta,year,male,female,white,black,asian,hispanic,indigenous,othermulti,65_and_66,67_to_69,70_to_74,75_to_79,80_to_84,85_and_over,65_to_69,total_population,male_proportion,female_proportion,white_proportion,black_proportion,asian_proportion,hispanic_proportion,indigenous_proportion,othermulti_proportion,65_and_66_proportion,67_to_69_proportion,70_to_74_proportion,75_to_79_proportion,80_to_84_proportion,85_and_over_proportion,65_to_69_proportion,percentage
23001010100,23,ME,600,Androscoggin County,1,10100,2020,89,241,315,5,2,4,2,2,50,63,85,61,34,37,113,330,0.26969697,0.73030303,0.954545455,0.015151515,0.006060606,0.012121212,0.006060606,0.006060606,0.151515152,0.190909091,0.257575758,0.184848485,0.103030303,0.112121212,0.342424242,7.6
23001010200,23,ME,600,Androscoggin County,1,10200,2020,449,686,1081,9,9,10,1,25,126,183,237,148,148,293,309,1135,0.395594714,0.604405286,0.952422907,0.007929515,0.007929515,0.008810573,0.000881057,0.022026432,0.111013216,0.16123348,0.208810573,0.130396476,0.130396476,0.25814978,0.272246696,10.2
23001010300,23,ME,600,Androscoggin County,1,10300,2020,185,277,436,6,4,5,3,8,53,67,99,58,66,119,120,462,0.4004329,0.5995671,0.943722944,0.012987013,0.008658009,0.010822511,0.006493506,0.017316017,0.114718615,0.145021645,0.214285714,0.125541126,0.142857143,0.257575758,0.25974026,10.5
23001010400,23,ME,600,Androscoggin County,1,10400,2020,210,413,609,4,4,4,1,1,60,76,105,97,98,187,136,623,0.337078652,0.662921348,0.97752809,0.006420546,0.006420546,0.006420546,0.001605136,0.001605136,0.096308186,0.121990369,0.168539326,0.155698234,0.157303371,0.300160514,0.218298555,11.9
23001010500,23,ME,600,Androscoggin County,1,10500,2020,150,205,331,7,3,3,2,9,53,58,81,58,44,61,111,355,0.422535211,0.577464789,0.932394366,0.01971831,0.008450704,0.008450704,0.005633803,0.025352113,0.149295775,0.163380282,0.228169014,0.163380282,0.123943662,0.171830986,0.312676056,8.6
23001010600,23,ME,600,Androscoggin County,1,10600,2020,281,285,557,0,1,2,3,3,94,108,152,98,61,53,202,566,0.496466431,0.503533569,0.98409894,0,0.001766784,0.003533569,0.005300353,0.005300353,0.166077739,0.190812721,0.268551237,0.173144876,0.107773852,0.093639576,0.356890459,6.9
23001010700,23,ME,600,Androscoggin County,1,10700,2020,265,345,599,1,2,0,0,8,70,132,166,97,76,69,202,610,0.43442623,0.56557377,0.981967213,0.001639344,0.003278689,0,0,0.013114754,0.114754098,0.216393443,0.272131148,0.159016393,0.124590164,0.113114754,0.331147541,7.5
23001010800,23,ME,600,Androscoggin County,1,10800,2020,398,510,878,2,2,3,2,21,102,162,270,160,110,104,264,908,0.438325991,0.561674009,0.966960352,0.002202643,0.002202643,0.003303965,0.002202643,0.023127753,0.112334802,0.178414097,0.297356828,0.176211454,0.121145374,0.114537445,0.290748899,7.7
23001020100,23,ME,600,Androscoggin County,1,20100,2020,97,175,236,22,1,7,1,5,36,49,54,56,29,48,85,272,0.356617647,0.643382353,0.867647059,0.080882353,0.003676471,0.025735294,0.003676471,0.018382353,0.132352941,0.180147059,0.198529412,0.205882353,0.106617647,0.176470588,0.3125,9.3
23001020200,23,ME,600,Androscoggin County,1,20200,2020,76,75,142,2,0,1,0,6,23,31,59,23,4,11,54,151,0.503311258,0.496688742,0.940397351,0.013245033,0,0.006622517,0,0.039735099,0.152317881,0.205298013,0.390728477,0.152317881,0.026490066,0.072847682,0.357615894,6.1
23001020301,23,ME,600,Androscoggin County,1,20301,2020,107,234,327,2,1,5,0,6,35,20,54,47,72,113,55,341,0.313782991,0.686217009,0.958944282,0.005865103,0.002932551,0.014662757,0,0.017595308,0.102639296,0.058651026,0.158357771,0.137829912,0.211143695,0.331378299,0.161290323,13.7
23001020302,23,ME,600,Androscoggin County,1,20302,2020,124,140,235,9,2,6,5,7,51,53,64,51,26,19,104,264,0.46969697,0.53030303,0.890151515,0.034090909,0.007575758,0.022727273,0.018939394,0.026515152,0.193181818,0.200757576,0.242424242,0.193181818,0.098484848,0.071969697,0.393939394,6.8
23001020303,23,ME,600,Androscoggin County,1,20303,2020,103,120,186,13,1,8,3,12,37,48,64,32,16,26,85,223,0.461883408,0.538116592,0.834080717,0.058295964,0.004484305,0.035874439,0.013452915,0.053811659,0.165919283,0.215246637,0.286995516,0.143497758,0.071748879,0.116591928,0.381165919,7.3
23001020401,23,ME,600,Androscoggin County,1,20401,2020,45,38,55,22,0,2,1,3,21,15,13,23,8,3,36,83,0.542168675,0.457831325,0.662650602,0.265060241,0,0.024096386,0.012048193,0.036144578,0.253012048,0.180722892,0.156626506,0.277108434,0.096385542,0.036144578,0.43373494,7.8
23001020402,23,ME,600,Androscoggin County,1,20402,2020,82,88,144,11,0,5,3,7,23,36,41,29,18,23,59,170,0.482352941,0.517647059,0.847058824,0.064705882,0,0.029411765,0.017647059,0.041176471,0.135294118,0.211764706,0.241176471,0.170588235,0.105882353,0.135294118,0.347058824,8.1
23001020500,23,ME,600,Androscoggin County,1,20500,2020,270,380,603,12,7,2,7,19,77,114,185,112,76,86,191,650,0.415384615,0.584615385,0.927692308,0.018461538,0.010769231,0.003076923,0.010769231,0.029230769,0.118461538,0.175384615,0.284615385,0.172307692,0.116923077,0.132307692,0.293846154,8.0
23001020600,23,ME,600,Androscoggin County,1,20600,2020,314,371,673,0,0,4,1,7,67,99,198,140,116,65,166,685,0.458394161,0.541605839,0.982481752,0,0,0.005839416,0.001459854,0.010218978,0.097810219,0.144525547,0.289051095,0.204379562,0.169343066,0.094890511,0.242335766,8.1
23001020700,23,ME,600,Androscoggin County,1,20700,2020,532,695,1192,8,5,6,1,15,148,210,337,211,126,195,358,1227,0.433577832,0.566422168,0.971475143,0.006519967,0.00407498,0.004889976,0.000814996,0.012224939,0.120619397,0.171149144,0.274653627,0.17196414,0.102689487,0.158924205,0.291768541,8.2
23001020801,23,ME,600,Androscoggin County,1,20801,2020,298,364,645,0,3,5,0,9,89,104,184,107,97,81,193,662,0.450151057,0.549848943,0.974320242,0,0.004531722,0.00755287,0,0.013595166,0.134441088,0.157099698,0.277945619,0.16163142,0.14652568,0.122356495,0.291540785,8.0
23001020802,23,ME,600,Androscoggin County,1,20802,2020,408,453,810,13,9,12,4,13,127,179,240,150,93,72,306,861,0.473867596,0.526132404,0.940766551,0.015098722,0.010452962,0.013937282,0.004645761,0.015098722,0.147502904,0.207897793,0.278745645,0.174216028,0.108013937,0.083623693,0.355400697,7.0
23001020900,23,ME,600,Androscoggin County,1,20900,2020,348,556,858,11,8,7,3,17,94,121,230,155,128,176,215,904,0.384955752,0.615044248,0.949115044,0.012168142,0.008849558,0.007743363,0.003318584,0.01880531,0.103982301,0.133849558,0.254424779,0.171460177,0.14159292,0.194690265,0.237831858,9.6
23001030100,23,ME,600,Androscoggin County,1,30100,2020,521,703,1205,3,0,1,1,14,128,182,333,192,167,222,310,1224,0.425653595,0.574346405,0.984477124,0.00245098,0,0.000816993,0.000816993,0.011437908,0.104575163,0.14869281,0.272058824,0.156862745,0.136437908,0.181372549,0.253267974,9.0
