GEOID,percentage
3901,6.6
3902,1.2
3903,7.0
3904,19.4
3905,22.9
3906,15.0
3907,4.4
3908,7.6
3909,12.2
3910,0.0
3911,0.0
4001,2.8
4002,4.8
4003,0.0
4004,0.0
4005,12.4
4006,0.0
4008,7.0
4009,8.5
4010,4.1
4011,8.1
4013,0.0
4014,0.0
4015,6.6
4016,0.0
4017,0.0
4020,28.4
4021,13.0
4022,12.3
4024,0.0
4027,11.0
4028,0.0
4029,8.1
4030,8.7
4032,5.8
4034,0.0
4037,14.7
4038,8.0
4039,12.4
4040,14.6
4041,10.8
4042,7.4
4043,5.3
4046,8.9
4047,4.5
4048,16.9
4049,15.9
4050,2.3
4051,28.4
4054,0.0
4055,7.4
4056,0.0
4057,0.0
4061,7.2
4062,8.6
4063,27.0
4064,19.8
4066,7.3
4068,30.7
4069,23.0
4071,12.6
4072,6.6
4073,9.8
4074,4.7
4076,14.7
4077,0.0
4078,0.0
4079,4.9
4082,0.0
4083,8.8
4084,11.9
4085,0.0
4086,12.5
4087,10.7
4088,14.8
4090,6.1
4091,2.5
4092,7.4
4093,4.9
4094,0.0
4095,13.2
4096,10.5
4097,3.1
4098,0.0
4101,11.8
4102,7.4
4103,12.1
4104,0.0
4105,4.2
4106,6.5
4107,7.4
4108,32.2
4109,0.0
4110,14.1
4112,0.0
4116,0.0
4210,8.1
4211,0.0
4216,7.2
4217,5.7
4219,17.2
4220,3.9
4221,24.0
4222,10.1
4223,0.0
4224,6.1
4225,0.0
4226,0.0
4227,5.6
4228,0.0
4231,0.0
4234,13.1
4236,10.6
4237,0.0
4238,17.5
4239,5.7
4240,7.4
4243,0.0
4250,4.6
4252,13.2
4253,9.3
4254,11.5
4255,0.0
4256,12.6
4257,3.2
4258,3.3
4259,29.5
4260,8.4
4261,4.6
4262,100.0
4263,5.6
4265,0.0
4266,0.0
4267,0.0
4268,8.5
4270,14.4
4271,0.0
4274,9.0
4275,6.5
4276,9.2
4280,19.2
4281,13.2
4282,3.0
4284,1.3
4285,13.5
4286,0.0
4287,19.2
4288,0.0
4289,7.3
4290,0.0
4291,0.0
4292,3.4
4294,12.6
4330,9.3
4333,0.0
4336,0.0
4341,0.0
4342,11.5
4343,0.0
4344,6.4
4345,13.7
4346,18.7
4347,2.1
4348,12.8
4349,7.2
4350,2.9
4351,7.1
4352,5.7
4353,9.5
4354,5.7
4355,2.4
4357,14.2
4358,16.7
4359,34.3
4360,10.6
4363,19.9
4364,4.4
4401,12.7
4402,26.3
4406,2.6
4408,0.0
4410,11.3
4411,0.0
4412,8.0
4413,0.0
4414,9.0
4415,16.9
4416,10.7
4417,0.0
4418,15.8
4419,14.6
4420,0.0
4421,0.0
4422,26.8
4424,13.0
4426,8.7
4427,22.1
4428,7.7
4429,12.9
4430,11.5
4431,46.2
4434,0.0
4435,9.7
4438,16.3
4441,4.5
4442,2.1
4443,8.9
4444,5.4
4448,10.5
4449,5.9
4450,5.8
4451,32.2
4453,30.4
4454,21.3
4455,0.0
4456,6.6
4457,12.6
4459,0.0
4460,2.3
4461,13.6
4462,12.0
4463,11.8
4464,15.0
4468,13.8
4471,5.2
4472,1.5
4473,9.1
4474,5.4
4475,0.0
4476,19.7
4478,0.0
4479,4.3
4481,29.1
4485,23.9
4487,20.4
4488,38.2
4489,0.0
4490,0.0
4491,5.7
4492,0.0
4493,0.0
4495,0.0
4496,8.1
4497,9.0
4530,11.6
4535,2.3
4537,5.0
4538,12.8
4539,7.1
4541,0.0
4543,11.2
4544,8.1
4547,9.3
4548,11.3
4551,2.2
4553,9.8
4554,8.3
4555,23.2
4556,3.8
4558,20.7
4562,10.3
4563,8.7
4564,12.9
4565,0.0
4568,14.1
4571,27.3
4572,6.6
4573,21.6
4574,1.8
4575,0.0
4576,4.0
4578,7.2
4579,19.6
4605,10.1
4606,2.4
4607,7.2
4609,5.4
4611,6.8
4612,5.6
4613,0.0
4614,5.7
4616,7.8
4617,1.2
4619,11.0
4622,4.2
4623,17.8
4624,3.0
4625,0.0
4626,18.4
4627,1.5
4628,9.2
4629,0.0
4630,17.7
4631,19.9
4634,2.4
4637,100.0
4640,5.9
4642,16.2
4643,15.1
4645,0.0
4646,19.1
4648,1.0
4649,11.2
4650,0.0
4652,8.0
4653,0.0
4654,15.7
4655,20.8
4657,4.8
4658,18.3
4660,11.7
4662,5.8
4664,13.2
4666,13.6
4667,14.9
4668,0.8
4669,0.0
4671,20.3
4672,34.4
4673,0.0
4674,0.0
4675,31.4
4676,0.0
4677,0.0
4679,27.0
4680,12.9
4681,20.9
4683,0.0
4684,0.0
4685,17.8
4686,0.0
4691,24.1
4693,0.0
4694,18.9
4730,13.0
4732,8.8
4733,0.0
4734,0.0
4735,14.8
4736,13.0
4737,0.0
4738,0.0
4739,2.7
4740,0.0
4742,11.0
4743,3.9
4744,0.0
4745,21.8
4746,32.6
4747,12.2
4750,27.3
4756,17.0
4757,2.6
4758,3.1
4760,26.5
4761,24.7
4762,8.3
4763,14.6
4765,16.4
4766,0.0
4768,11.4
4769,5.5
4772,20.6
4773,20.5
4774,0.0
4776,17.3
4777,21.1
4779,4.8
4780,23.7
4781,0.0
4783,16.0
4785,7.4
4786,9.8
4787,7.3
4841,7.4
4843,6.4
4847,5.3
4848,15.0
4849,4.8
4850,38.3
4851,0.0
4852,100.0
4853,0.0
4854,10.6
4855,26.1
4856,6.5
4858,0.5
4859,5.8
4860,5.4
4861,3.5
4862,7.4
4863,5.1
4864,11.2
4865,26.3
4901,13.0
4903,0.0
4910,0.0
4911,11.9
4912,0.9
4915,10.0
4917,11.7
4918,43.1
4920,6.2
4921,18.8
4922,5.4
4923,23.8
4924,10.2
4925,6.7
4926,0.0
4927,3.1
4928,2.7
4929,2.1
4930,4.1
4932,12.4
4933,7.1
4935,0.0
4936,0.0
4937,7.8
4938,9.4
4939,16.5
4940,0.0
4941,15.8
4942,22.3
4943,5.5
4944,0.0
4945,19.6
4947,8.4
4949,31.8
4950,21.7
4951,4.4
4952,3.5
4953,29.8
4954,0.0
4955,13.9
4956,4.3
4957,14.8
4958,12.0
4961,5.9
4962,0.0
4963,5.5
4964,2.1
4965,3.2
4966,25.0
4967,8.4
4969,3.7
4970,8.2
4971,10.7
4972,0.0
4973,24.4
4974,11.9
4975,0.0
4976,9.7
4978,11.7
4979,0.0
4981,3.8
4982,2.3
4983,4.8
4984,22.1
4985,0.0
4986,0.6
4987,6.7
4988,5.0
4989,21.5
4992,0.0
77777,21.8
99999,6.8
