GEOID,percentage
1068,0
1095,0
1207,0
1833,0
2407,0
2410,0
2999,0
3046,0
3063,0
3306,0
3579,0
3901,4.749256634
3902,1.046325387
3903,7.170234013
3904,15.30668312
3905,23.57842808
3906,13.41108873
3907,2.658077339
3908,6.917619833
3909,8.880299845
3910,0
3911,0
4001,2.013761529
4002,4.41152695
4003,0
4004,23.99720189
4005,11.69634581
4006,0
4008,9.300907098
4009,15.3099551
4010,2.218208448
4011,7.922856298
4012,0
4013,0
4014,0
4015,7.724631584
4016,10.95962453
4017,0
4020,20.10278008
4021,10.73018134
4022,13.9482478
4024,14.39325362
4027,9.580378431
4028,0
4029,19.34982939
4030,7.668142989
4032,8.994117552
4034,0
4037,13.02895162
4038,8.008513494
4039,10.66102579
4040,13.8994146
4041,15.50163206
4042,7.914636455
4043,7.084543917
4046,7.335331244
4047,3.367563317
4048,16.4985558
4049,9.629918473
4050,4.563903475
4051,23.81576135
4054,0
4055,11.04520581
4056,0
4057,0
4061,5.150830194
4062,8.210565766
4063,18.45210402
4064,16.36038537
4066,13.79320958
4068,25.1071658
4069,17.11343697
4071,8.710297264
4072,9.079890781
4073,9.208859299
4074,5.356520697
4076,12.26023253
4077,0
4078,0
4079,5.089327013
4082,0
4083,5.862797416
4084,10.89106683
4085,0
4086,11.4160904
4087,14.45731915
4088,15.22779989
4090,6.260438468
4091,1.876721963
4092,10.24176469
4093,5.486574235
4094,0
4095,10.82246581
4096,8.332022084
4097,3.930370705
4098,0
4101,9.619893828
4102,5.751322376
4103,12.11960593
4104,0
4105,4.022879148
4106,8.037665878
4107,6.32510868
4108,23.57853198
4109,0
4110,12.85486796
4112,0
4116,0
4157,0
4172,0
4207,0
4210,8.406787737
4211,0
4212,0
4216,5.743444153
4217,5.006546762
4219,25.11918449
4220,2.949047794
4221,16.92882381
4222,7.061635746
4223,0
4224,7.203867999
4225,0
4226,0
4227,5.638501264
4228,0
4230,0
4231,0
4234,13.0848513
4236,10.73820267
4237,0
4238,17.42579017
4239,5.724620898
4240,9.996848767
4241,0
4243,0
4250,5.734453226
4252,8.870503011
4253,7.699821082
4254,15.46568139
4255,3.901522772
4256,10.47103763
4257,14.22677079
4258,4.768400213
4259,19.73949629
4260,8.380317487
4261,10.6890593
4262,100
4263,4.414724583
4265,0
4266,0
4267,0
4268,11.5141593
4270,11.90708343
4271,0
4274,8.331448867
4275,8.893916422
4276,11.13012555
4280,14.91696892
4281,14.73100715
4282,6.227265076
4284,0.889366269
4285,12.83203065
4286,0
4287,16.95417099
4288,0
4289,7.597143029
4290,4.620848602
4291,33.18714962
4292,4.159359957
4294,12.47817689
4330,14.52697883
4333,0
4336,0
4341,0
4342,17.50028652
4343,0
4344,3.91328024
4345,12.36012183
4346,17.28682224
4347,1.78215654
4348,10.75344571
4349,4.709450273
4350,5.583452252
4351,6.307152705
4352,6.999834738
4353,7.921582777
4354,5.64592399
